Sentence;first;last;name;type
When a temperature anomaly is detected in the server room, Microsoft Exchange Server should send an alert to the maintenance team.;59;83;Microsoft Exchange Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, IBM Domino Server should send an alert to the maintenance team.;59;75;IBM Domino Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Google Workspace (formerly G Suite) should send an alert to the maintenance team.;59;93;Google Workspace (formerly G Suite);NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Zimbra Collaboration Suite should send an alert to the maintenance team.;59;84;Zimbra Collaboration Suite;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, VMware Zimbra should send an alert to the maintenance team.;59;71;VMware Zimbra;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Oracle Communications Messaging Server should send an alert to the maintenance team.;59;96;Oracle Communications Messaging Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, MailEnable should send an alert to the maintenance team.;59;68;MailEnable;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Axigen Mail Server should send an alert to the maintenance team.;59;76;Axigen Mail Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, SmarterMail should send an alert to the maintenance team.;59;69;SmarterMail;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, IceWarp Mail Server should send an alert to the maintenance team.;59;77;IceWarp Mail Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Kerio Connect should send an alert to the maintenance team.;59;71;Kerio Connect;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, hMailServer should send an alert to the maintenance team.;59;69;hMailServer;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, SurgeMail should send an alert to the maintenance team.;59;67;SurgeMail;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Scalix should send an alert to the maintenance team.;59;64;Scalix;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Citadel should send an alert to the maintenance team.;59;65;Citadel;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Atmail should send an alert to the maintenance team.;59;64;Atmail;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, CommuniGate Pro should send an alert to the maintenance team.;59;73;CommuniGate Pro;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Exim Mail Server should send an alert to the maintenance team.;59;74;Exim Mail Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Postfix Mail Server should send an alert to the maintenance team.;59;77;Postfix Mail Server;NETWORK_RESOURCE
When a temperature anomaly is detected in the server room, Sendmail should send an alert to the maintenance team.;59;66;Sendmail;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Microsoft Exchange Server for real-time analysis and monitoring.;46;70;Microsoft Exchange Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to IBM Domino Server for real-time analysis and monitoring.;46;62;IBM Domino Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Google Workspace (formerly G Suite) for real-time analysis and monitoring.;46;80;Google Workspace (formerly G Suite);NETWORK_RESOURCE
The IoT gateway should forward sensor data to Zimbra Collaboration Suite for real-time analysis and monitoring.;46;71;Zimbra Collaboration Suite;NETWORK_RESOURCE
The IoT gateway should forward sensor data to VMware Zimbra for real-time analysis and monitoring.;46;58;VMware Zimbra;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Oracle Communications Messaging Server for real-time analysis and monitoring.;46;83;Oracle Communications Messaging Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to MailEnable for real-time analysis and monitoring.;46;55;MailEnable;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Axigen Mail Server for real-time analysis and monitoring.;46;63;Axigen Mail Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to SmarterMail for real-time analysis and monitoring.;46;56;SmarterMail;NETWORK_RESOURCE
The IoT gateway should forward sensor data to IceWarp Mail Server for real-time analysis and monitoring.;46;64;IceWarp Mail Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Kerio Connect for real-time analysis and monitoring.;46;58;Kerio Connect;NETWORK_RESOURCE
The IoT gateway should forward sensor data to hMailServer for real-time analysis and monitoring.;46;56;hMailServer;NETWORK_RESOURCE
The IoT gateway should forward sensor data to SurgeMail for real-time analysis and monitoring.;46;54;SurgeMail;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Scalix for real-time analysis and monitoring.;46;51;Scalix;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Citadel for real-time analysis and monitoring.;46;52;Citadel;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Atmail for real-time analysis and monitoring.;46;51;Atmail;NETWORK_RESOURCE
The IoT gateway should forward sensor data to CommuniGate Pro for real-time analysis and monitoring.;46;60;CommuniGate Pro;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Exim Mail Server for real-time analysis and monitoring.;46;61;Exim Mail Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Postfix Mail Server for real-time analysis and monitoring.;46;64;Postfix Mail Server;NETWORK_RESOURCE
The IoT gateway should forward sensor data to Sendmail for real-time analysis and monitoring.;46;53;Sendmail;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Microsoft Exchange Server should send an email notification to the homeowner about the energy consumption.;57;81;Microsoft Exchange Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, IBM Domino Server should send an email notification to the homeowner about the energy consumption.;57;73;IBM Domino Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Google Workspace (formerly G Suite) should send an email notification to the homeowner about the energy consumption.;57;91;Google Workspace (formerly G Suite);NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Zimbra Collaboration Suite should send an email notification to the homeowner about the energy consumption.;57;82;Zimbra Collaboration Suite;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, VMware Zimbra should send an email notification to the homeowner about the energy consumption.;57;69;VMware Zimbra;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Oracle Communications Messaging Server should send an email notification to the homeowner about the energy consumption.;57;94;Oracle Communications Messaging Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, MailEnable should send an email notification to the homeowner about the energy consumption.;57;66;MailEnable;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Axigen Mail Server should send an email notification to the homeowner about the energy consumption.;57;74;Axigen Mail Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, SmarterMail should send an email notification to the homeowner about the energy consumption.;57;67;SmarterMail;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, IceWarp Mail Server should send an email notification to the homeowner about the energy consumption.;57;75;IceWarp Mail Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Kerio Connect should send an email notification to the homeowner about the energy consumption.;57;69;Kerio Connect;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, hMailServer should send an email notification to the homeowner about the energy consumption.;57;67;hMailServer;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, SurgeMail should send an email notification to the homeowner about the energy consumption.;57;65;SurgeMail;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Scalix should send an email notification to the homeowner about the energy consumption.;57;62;Scalix;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Citadel should send an email notification to the homeowner about the energy consumption.;57;63;Citadel;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Atmail should send an email notification to the homeowner about the energy consumption.;57;62;Atmail;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, CommuniGate Pro should send an email notification to the homeowner about the energy consumption.;57;71;CommuniGate Pro;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Exim Mail Server should send an email notification to the homeowner about the energy consumption.;57;72;Exim Mail Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Postfix Mail Server should send an email notification to the homeowner about the energy consumption.;57;75;Postfix Mail Server;NETWORK_RESOURCE
Upon receiving a request from the smart home controller, Sendmail should send an email notification to the homeowner about the energy consumption.;57;64;Sendmail;NETWORK_RESOURCE
Microsoft Exchange Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;24;Microsoft Exchange Server;NETWORK_RESOURCE
IBM Domino Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;16;IBM Domino Server;NETWORK_RESOURCE
Google Workspace (formerly G Suite) should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;34;Google Workspace (formerly G Suite);NETWORK_RESOURCE
Zimbra Collaboration Suite should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;25;Zimbra Collaboration Suite;NETWORK_RESOURCE
VMware Zimbra should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;12;VMware Zimbra;NETWORK_RESOURCE
Oracle Communications Messaging Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;37;Oracle Communications Messaging Server;NETWORK_RESOURCE
MailEnable should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;9;MailEnable;NETWORK_RESOURCE
Axigen Mail Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;17;Axigen Mail Server;NETWORK_RESOURCE
SmarterMail should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;10;SmarterMail;NETWORK_RESOURCE
IceWarp Mail Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;18;IceWarp Mail Server;NETWORK_RESOURCE
Kerio Connect should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;12;Kerio Connect;NETWORK_RESOURCE
hMailServer should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;10;hMailServer;NETWORK_RESOURCE
SurgeMail should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;8;SurgeMail;NETWORK_RESOURCE
Scalix should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;5;Scalix;NETWORK_RESOURCE
Citadel should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;6;Citadel;NETWORK_RESOURCE
Atmail should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;5;Atmail;NETWORK_RESOURCE
CommuniGate Pro should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;14;CommuniGate Pro;NETWORK_RESOURCE
Exim Mail Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;15;Exim Mail Server;NETWORK_RESOURCE
Postfix Mail Server should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;18;Postfix Mail Server;NETWORK_RESOURCE
Sendmail should generate automated reports based on the water quality data collected from various IoT sensors in the reservoir.;0;7;Sendmail;NETWORK_RESOURCE
In case of a power outage, Microsoft Exchange Server should queue and store incoming emails until the connectivity is restored.;27;51;Microsoft Exchange Server;NETWORK_RESOURCE
In case of a power outage, IBM Domino Server should queue and store incoming emails until the connectivity is restored.;27;43;IBM Domino Server;NETWORK_RESOURCE
In case of a power outage, Google Workspace (formerly G Suite) should queue and store incoming emails until the connectivity is restored.;27;61;Google Workspace (formerly G Suite);NETWORK_RESOURCE
In case of a power outage, Zimbra Collaboration Suite should queue and store incoming emails until the connectivity is restored.;27;52;Zimbra Collaboration Suite;NETWORK_RESOURCE
In case of a power outage, VMware Zimbra should queue and store incoming emails until the connectivity is restored.;27;39;VMware Zimbra;NETWORK_RESOURCE
In case of a power outage, Oracle Communications Messaging Server should queue and store incoming emails until the connectivity is restored.;27;64;Oracle Communications Messaging Server;NETWORK_RESOURCE
In case of a power outage, MailEnable should queue and store incoming emails until the connectivity is restored.;27;36;MailEnable;NETWORK_RESOURCE
In case of a power outage, Axigen Mail Server should queue and store incoming emails until the connectivity is restored.;27;44;Axigen Mail Server;NETWORK_RESOURCE
In case of a power outage, SmarterMail should queue and store incoming emails until the connectivity is restored.;27;37;SmarterMail;NETWORK_RESOURCE
In case of a power outage, IceWarp Mail Server should queue and store incoming emails until the connectivity is restored.;27;45;IceWarp Mail Server;NETWORK_RESOURCE
In case of a power outage, Kerio Connect should queue and store incoming emails until the connectivity is restored.;27;39;Kerio Connect;NETWORK_RESOURCE
In case of a power outage, hMailServer should queue and store incoming emails until the connectivity is restored.;27;37;hMailServer;NETWORK_RESOURCE
In case of a power outage, SurgeMail should queue and store incoming emails until the connectivity is restored.;27;35;SurgeMail;NETWORK_RESOURCE
In case of a power outage, Scalix should queue and store incoming emails until the connectivity is restored.;27;32;Scalix;NETWORK_RESOURCE
In case of a power outage, Citadel should queue and store incoming emails until the connectivity is restored.;27;33;Citadel;NETWORK_RESOURCE
In case of a power outage, Atmail should queue and store incoming emails until the connectivity is restored.;27;32;Atmail;NETWORK_RESOURCE
In case of a power outage, CommuniGate Pro should queue and store incoming emails until the connectivity is restored.;27;41;CommuniGate Pro;NETWORK_RESOURCE
In case of a power outage, Exim Mail Server should queue and store incoming emails until the connectivity is restored.;27;42;Exim Mail Server;NETWORK_RESOURCE
In case of a power outage, Postfix Mail Server should queue and store incoming emails until the connectivity is restored.;27;45;Postfix Mail Server;NETWORK_RESOURCE
In case of a power outage, Sendmail should queue and store incoming emails until the connectivity is restored.;27;34;Sendmail;NETWORK_RESOURCE
When a motion sensor is triggered, Microsoft Exchange Server should send a notification email to the security personnel.;35;59;Microsoft Exchange Server;NETWORK_RESOURCE
When a motion sensor is triggered, IBM Domino Server should send a notification email to the security personnel.;35;51;IBM Domino Server;NETWORK_RESOURCE
