Sentence;first;last;name;type
The IoT gateway should securely transfer collected sensor data to Microsoft Windows Server for storage and analysis.;66;89;Microsoft Windows Server;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Linux file server for storage and analysis.;66;82;Linux file server;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to NAS (Network Attached Storage) devices for storage and analysis.;66;103;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to FreeNAS for storage and analysis.;66;72;FreeNAS;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Synology DiskStation for storage and analysis.;66;85;Synology DiskStation;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to QNAP Turbo NAS for storage and analysis.;66;79;QNAP Turbo NAS;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Western Digital My Cloud for storage and analysis.;66;89;Western Digital My Cloud;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Seagate Personal Cloud for storage and analysis.;66;87;Seagate Personal Cloud;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Dell EMC PowerVault for storage and analysis.;66;84;Dell EMC PowerVault;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to NetApp FAS (Fabric-Attached Storage) for storage and analysis.;66;101;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to HPE ProLiant DL380 Server for storage and analysis.;66;90;HPE ProLiant DL380 Server;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to IBM Power Systems servers with IBM i for storage and analysis.;66;101;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Cisco UCS (Unified Computing System) Servers for storage and analysis.;66;109;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Fujitsu Primergy Servers for storage and analysis.;66;89;Fujitsu Primergy Servers;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Supermicro SuperServer for storage and analysis.;66;87;Supermicro SuperServer;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to HP ProLiant ML Server Series for storage and analysis.;66;93;HP ProLiant ML Server Series;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Dell PowerEdge R Series Servers for storage and analysis.;66;96;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Lenovo ThinkSystem Servers for storage and analysis.;66;91;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Huawei FusionServer Pro for storage and analysis.;66;88;Huawei FusionServer Pro;NETWORK_RESOURCE
The IoT gateway should securely transfer collected sensor data to Oracle SPARC Servers for storage and analysis.;66;85;Oracle SPARC Servers;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Microsoft Windows Server.;125;148;Microsoft Windows Server;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Linux file server.;125;141;Linux file server;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from NAS (Network Attached Storage) devices.;125;162;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from FreeNAS.;125;131;FreeNAS;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Synology DiskStation.;125;144;Synology DiskStation;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from QNAP Turbo NAS.;125;138;QNAP Turbo NAS;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Western Digital My Cloud.;125;148;Western Digital My Cloud;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Seagate Personal Cloud.;125;146;Seagate Personal Cloud;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Dell EMC PowerVault.;125;143;Dell EMC PowerVault;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from NetApp FAS (Fabric-Attached Storage).;125;160;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from HPE ProLiant DL380 Server.;125;149;HPE ProLiant DL380 Server;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from IBM Power Systems servers with IBM i.;125;160;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Cisco UCS (Unified Computing System) Servers.;125;168;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Fujitsu Primergy Servers.;125;148;Fujitsu Primergy Servers;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Supermicro SuperServer.;125;146;Supermicro SuperServer;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from HP ProLiant ML Server Series.;125;152;HP ProLiant ML Server Series;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Dell PowerEdge R Series Servers.;125;155;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Lenovo ThinkSystem Servers.;125;150;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Huawei FusionServer Pro.;125;147;Huawei FusionServer Pro;NETWORK_RESOURCE
Upon receiving a command from the central control system, the edge device should retrieve the necessary firmware update from Oracle SPARC Servers.;125;144;Oracle SPARC Servers;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Microsoft Windows Server.;97;120;Microsoft Windows Server;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Linux file server.;97;113;Linux file server;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with NAS (Network Attached Storage) devices.;97;134;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with FreeNAS.;97;103;FreeNAS;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Synology DiskStation.;97;116;Synology DiskStation;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with QNAP Turbo NAS.;97;110;QNAP Turbo NAS;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Western Digital My Cloud.;97;120;Western Digital My Cloud;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Seagate Personal Cloud.;97;118;Seagate Personal Cloud;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Dell EMC PowerVault.;97;115;Dell EMC PowerVault;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with NetApp FAS (Fabric-Attached Storage).;97;132;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with HPE ProLiant DL380 Server.;97;121;HPE ProLiant DL380 Server;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with IBM Power Systems servers with IBM i.;97;132;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Cisco UCS (Unified Computing System) Servers.;97;140;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Fujitsu Primergy Servers.;97;120;Fujitsu Primergy Servers;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Supermicro SuperServer.;97;118;Supermicro SuperServer;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with HP ProLiant ML Server Series.;97;124;HP ProLiant ML Server Series;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Dell PowerEdge R Series Servers.;97;127;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Lenovo ThinkSystem Servers.;97;122;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Huawei FusionServer Pro.;97;119;Huawei FusionServer Pro;NETWORK_RESOURCE
When a network connection is restored, the edge router should synchronize its configuration with Oracle SPARC Servers.;97;116;Oracle SPARC Servers;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Microsoft Windows Server for generating analytical reports.;64;87;Microsoft Windows Server;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Linux file server for generating analytical reports.;64;80;Linux file server;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from NAS (Network Attached Storage) devices for generating analytical reports.;64;101;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from FreeNAS for generating analytical reports.;64;70;FreeNAS;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Synology DiskStation for generating analytical reports.;64;83;Synology DiskStation;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from QNAP Turbo NAS for generating analytical reports.;64;77;QNAP Turbo NAS;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Western Digital My Cloud for generating analytical reports.;64;87;Western Digital My Cloud;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Seagate Personal Cloud for generating analytical reports.;64;85;Seagate Personal Cloud;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Dell EMC PowerVault for generating analytical reports.;64;82;Dell EMC PowerVault;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from NetApp FAS (Fabric-Attached Storage) for generating analytical reports.;64;99;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from HPE ProLiant DL380 Server for generating analytical reports.;64;88;HPE ProLiant DL380 Server;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from IBM Power Systems servers with IBM i for generating analytical reports.;64;99;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Cisco UCS (Unified Computing System) Servers for generating analytical reports.;64;107;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Fujitsu Primergy Servers for generating analytical reports.;64;87;Fujitsu Primergy Servers;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Supermicro SuperServer for generating analytical reports.;64;85;Supermicro SuperServer;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from HP ProLiant ML Server Series for generating analytical reports.;64;91;HP ProLiant ML Server Series;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Dell PowerEdge R Series Servers for generating analytical reports.;64;94;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Lenovo ThinkSystem Servers for generating analytical reports.;64;89;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Huawei FusionServer Pro for generating analytical reports.;64;86;Huawei FusionServer Pro;NETWORK_RESOURCE
The cloud-based application should retrieve real-time data from Oracle SPARC Servers for generating analytical reports.;64;83;Oracle SPARC Servers;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Microsoft Windows Server once power is restored.;105;128;Microsoft Windows Server;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Linux file server once power is restored.;105;121;Linux file server;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to NAS (Network Attached Storage) devices once power is restored.;105;142;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to FreeNAS once power is restored.;105;111;FreeNAS;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Synology DiskStation once power is restored.;105;124;Synology DiskStation;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to QNAP Turbo NAS once power is restored.;105;118;QNAP Turbo NAS;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Western Digital My Cloud once power is restored.;105;128;Western Digital My Cloud;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Seagate Personal Cloud once power is restored.;105;126;Seagate Personal Cloud;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Dell EMC PowerVault once power is restored.;105;123;Dell EMC PowerVault;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to NetApp FAS (Fabric-Attached Storage) once power is restored.;105;140;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to HPE ProLiant DL380 Server once power is restored.;105;129;HPE ProLiant DL380 Server;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to IBM Power Systems servers with IBM i once power is restored.;105;140;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Cisco UCS (Unified Computing System) Servers once power is restored.;105;148;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Fujitsu Primergy Servers once power is restored.;105;128;Fujitsu Primergy Servers;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Supermicro SuperServer once power is restored.;105;126;Supermicro SuperServer;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to HP ProLiant ML Server Series once power is restored.;105;132;HP ProLiant ML Server Series;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Dell PowerEdge R Series Servers once power is restored.;105;135;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Lenovo ThinkSystem Servers once power is restored.;105;130;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Huawei FusionServer Pro once power is restored.;105;127;Huawei FusionServer Pro;NETWORK_RESOURCE
In case of a power outage, the edge device should temporarily store the collected data and forward it to Oracle SPARC Servers once power is restored.;105;124;Oracle SPARC Servers;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Microsoft Windows Server.;117;140;Microsoft Windows Server;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Linux file server.;117;133;Linux file server;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in NAS (Network Attached Storage) devices.;117;154;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in FreeNAS.;117;123;FreeNAS;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Synology DiskStation.;117;136;Synology DiskStation;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in QNAP Turbo NAS.;117;130;QNAP Turbo NAS;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Western Digital My Cloud.;117;140;Western Digital My Cloud;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Seagate Personal Cloud.;117;138;Seagate Personal Cloud;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Dell EMC PowerVault.;117;135;Dell EMC PowerVault;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in NetApp FAS (Fabric-Attached Storage).;117;152;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in HPE ProLiant DL380 Server.;117;141;HPE ProLiant DL380 Server;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in IBM Power Systems servers with IBM i.;117;152;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Cisco UCS (Unified Computing System) Servers.;117;160;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Fujitsu Primergy Servers.;117;140;Fujitsu Primergy Servers;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Supermicro SuperServer.;117;138;Supermicro SuperServer;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in HP ProLiant ML Server Series.;117;144;HP ProLiant ML Server Series;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Dell PowerEdge R Series Servers.;117;147;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Lenovo ThinkSystem Servers.;117;142;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Huawei FusionServer Pro.;117;139;Huawei FusionServer Pro;NETWORK_RESOURCE
When a new sensor is added to the network, the gateway should automatically update the sensor registry maintained in Oracle SPARC Servers.;117;136;Oracle SPARC Servers;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Microsoft Windows Server.;113;136;Microsoft Windows Server;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Linux file server.;113;129;Linux file server;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in NAS (Network Attached Storage) devices.;113;150;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in FreeNAS.;113;119;FreeNAS;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Synology DiskStation.;113;132;Synology DiskStation;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in QNAP Turbo NAS.;113;126;QNAP Turbo NAS;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Western Digital My Cloud.;113;136;Western Digital My Cloud;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Seagate Personal Cloud.;113;134;Seagate Personal Cloud;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Dell EMC PowerVault.;113;131;Dell EMC PowerVault;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in NetApp FAS (Fabric-Attached Storage).;113;148;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in HPE ProLiant DL380 Server.;113;137;HPE ProLiant DL380 Server;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in IBM Power Systems servers with IBM i.;113;148;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Cisco UCS (Unified Computing System) Servers.;113;156;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Fujitsu Primergy Servers.;113;136;Fujitsu Primergy Servers;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Supermicro SuperServer.;113;134;Supermicro SuperServer;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in HP ProLiant ML Server Series.;113;140;HP ProLiant ML Server Series;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Dell PowerEdge R Series Servers.;113;143;Dell PowerEdge R Series Servers;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Lenovo ThinkSystem Servers.;113;138;Lenovo ThinkSystem Servers;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Huawei FusionServer Pro.;113;135;Huawei FusionServer Pro;NETWORK_RESOURCE
If an anomaly is detected in the sensor readings, the edge device should log an alert in the error log stored in Oracle SPARC Servers.;113;132;Oracle SPARC Servers;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Microsoft Windows Server and transmit them to the user interface.;104;127;Microsoft Windows Server;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Linux file server and transmit them to the user interface.;104;120;Linux file server;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from NAS (Network Attached Storage) devices and transmit them to the user interface.;104;141;NAS (Network Attached Storage) devices;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from FreeNAS and transmit them to the user interface.;104;110;FreeNAS;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Synology DiskStation and transmit them to the user interface.;104;123;Synology DiskStation;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from QNAP Turbo NAS and transmit them to the user interface.;104;117;QNAP Turbo NAS;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Western Digital My Cloud and transmit them to the user interface.;104;127;Western Digital My Cloud;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Seagate Personal Cloud and transmit them to the user interface.;104;125;Seagate Personal Cloud;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Dell EMC PowerVault and transmit them to the user interface.;104;122;Dell EMC PowerVault;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from NetApp FAS (Fabric-Attached Storage) and transmit them to the user interface.;104;139;NetApp FAS (Fabric-Attached Storage);NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from HPE ProLiant DL380 Server and transmit them to the user interface.;104;128;HPE ProLiant DL380 Server;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from IBM Power Systems servers with IBM i and transmit them to the user interface.;104;139;IBM Power Systems servers with IBM i;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Cisco UCS (Unified Computing System) Servers and transmit them to the user interface.;104;147;Cisco UCS (Unified Computing System) Servers;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Fujitsu Primergy Servers and transmit them to the user interface.;104;127;Fujitsu Primergy Servers;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from Supermicro SuperServer and transmit them to the user interface.;104;125;Supermicro SuperServer;NETWORK_RESOURCE
Upon receiving a request for historical data, the edge server should retrieve the relevant records from HP ProLiant ML Server Series and transmit them to the user interface.;104;131;HP ProLiant ML Server Series;NETWORK_RESOURCE
