Sentence;first;last;name;type
F5 BIG-IP Load Balancer should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;22;F5 BIG-IP Load Balancer;NETWORK_RESOURCE
Citrix ADC (formerly NetScaler ADC) should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;34;Citrix ADC (formerly NetScaler ADC);NETWORK_RESOURCE
Kemp LoadMaster should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;14;Kemp LoadMaster;NETWORK_RESOURCE
Barracuda Load Balancer ADC should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;26;Barracuda Load Balancer ADC;NETWORK_RESOURCE
Radware Alteon ADC should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;17;Radware Alteon ADC;NETWORK_RESOURCE
A10 Networks Thunder ADC should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;23;A10 Networks Thunder ADC;NETWORK_RESOURCE
Cisco Application Control Engine (ACE) should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;37;Cisco Application Control Engine (ACE);NETWORK_RESOURCE
Brocade ServerIron ADX should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;21;Brocade ServerIron ADX;NETWORK_RESOURCE
Array Networks APV Series should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;24;Array Networks APV Series;NETWORK_RESOURCE
Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM) should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;73;Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM);NETWORK_RESOURCE
Radware LinkProof NG should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;19;Radware LinkProof NG;NETWORK_RESOURCE
NGINX Plus should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;9;NGINX Plus;NETWORK_RESOURCE
HAProxy should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;6;HAProxy;NETWORK_RESOURCE
Amazon Elastic Load Balancer (ELB) should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;33;Amazon Elastic Load Balancer (ELB);NETWORK_RESOURCE
Microsoft Azure Load Balancer should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;28;Microsoft Azure Load Balancer;NETWORK_RESOURCE
Google Cloud Load Balancer should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;25;Google Cloud Load Balancer;NETWORK_RESOURCE
Kemp Edge Security Pack (ESP) should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;28;Kemp Edge Security Pack (ESP);NETWORK_RESOURCE
Avi Networks Load Balancer should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;25;Avi Networks Load Balancer;NETWORK_RESOURCE
Fortinet FortiADC should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;16;Fortinet FortiADC;NETWORK_RESOURCE
Radware FastView should distribute incoming requests across multiple servers in the IoT cloud infrastructure.;0;15;Radware FastView;NETWORK_RESOURCE
Upon detecting high network traffic, F5 BIG-IP Load Balancer should dynamically allocate resources to optimize system performance.;37;59;F5 BIG-IP Load Balancer;NETWORK_RESOURCE
Upon detecting high network traffic, Citrix ADC (formerly NetScaler ADC) should dynamically allocate resources to optimize system performance.;37;71;Citrix ADC (formerly NetScaler ADC);NETWORK_RESOURCE
Upon detecting high network traffic, Kemp LoadMaster should dynamically allocate resources to optimize system performance.;37;51;Kemp LoadMaster;NETWORK_RESOURCE
Upon detecting high network traffic, Barracuda Load Balancer ADC should dynamically allocate resources to optimize system performance.;37;63;Barracuda Load Balancer ADC;NETWORK_RESOURCE
Upon detecting high network traffic, Radware Alteon ADC should dynamically allocate resources to optimize system performance.;37;54;Radware Alteon ADC;NETWORK_RESOURCE
Upon detecting high network traffic, A10 Networks Thunder ADC should dynamically allocate resources to optimize system performance.;37;60;A10 Networks Thunder ADC;NETWORK_RESOURCE
Upon detecting high network traffic, Cisco Application Control Engine (ACE) should dynamically allocate resources to optimize system performance.;37;74;Cisco Application Control Engine (ACE);NETWORK_RESOURCE
Upon detecting high network traffic, Brocade ServerIron ADX should dynamically allocate resources to optimize system performance.;37;58;Brocade ServerIron ADX;NETWORK_RESOURCE
Upon detecting high network traffic, Array Networks APV Series should dynamically allocate resources to optimize system performance.;37;61;Array Networks APV Series;NETWORK_RESOURCE
Upon detecting high network traffic, Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM) should dynamically allocate resources to optimize system performance.;37;110;Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM);NETWORK_RESOURCE
Upon detecting high network traffic, Radware LinkProof NG should dynamically allocate resources to optimize system performance.;37;56;Radware LinkProof NG;NETWORK_RESOURCE
Upon detecting high network traffic, NGINX Plus should dynamically allocate resources to optimize system performance.;37;46;NGINX Plus;NETWORK_RESOURCE
Upon detecting high network traffic, HAProxy should dynamically allocate resources to optimize system performance.;37;43;HAProxy;NETWORK_RESOURCE
Upon detecting high network traffic, Amazon Elastic Load Balancer (ELB) should dynamically allocate resources to optimize system performance.;37;70;Amazon Elastic Load Balancer (ELB);NETWORK_RESOURCE
Upon detecting high network traffic, Microsoft Azure Load Balancer should dynamically allocate resources to optimize system performance.;37;65;Microsoft Azure Load Balancer;NETWORK_RESOURCE
Upon detecting high network traffic, Google Cloud Load Balancer should dynamically allocate resources to optimize system performance.;37;62;Google Cloud Load Balancer;NETWORK_RESOURCE
Upon detecting high network traffic, Kemp Edge Security Pack (ESP) should dynamically allocate resources to optimize system performance.;37;65;Kemp Edge Security Pack (ESP);NETWORK_RESOURCE
Upon detecting high network traffic, Avi Networks Load Balancer should dynamically allocate resources to optimize system performance.;37;62;Avi Networks Load Balancer;NETWORK_RESOURCE
Upon detecting high network traffic, Fortinet FortiADC should dynamically allocate resources to optimize system performance.;37;53;Fortinet FortiADC;NETWORK_RESOURCE
Upon detecting high network traffic, Radware FastView should dynamically allocate resources to optimize system performance.;37;52;Radware FastView;NETWORK_RESOURCE
When a server goes offline, F5 BIG-IP Load Balancer should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;50;F5 BIG-IP Load Balancer;NETWORK_RESOURCE
When a server goes offline, Citrix ADC (formerly NetScaler ADC) should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;62;Citrix ADC (formerly NetScaler ADC);NETWORK_RESOURCE
When a server goes offline, Kemp LoadMaster should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;42;Kemp LoadMaster;NETWORK_RESOURCE
When a server goes offline, Barracuda Load Balancer ADC should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;54;Barracuda Load Balancer ADC;NETWORK_RESOURCE
When a server goes offline, Radware Alteon ADC should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;45;Radware Alteon ADC;NETWORK_RESOURCE
When a server goes offline, A10 Networks Thunder ADC should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;51;A10 Networks Thunder ADC;NETWORK_RESOURCE
When a server goes offline, Cisco Application Control Engine (ACE) should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;65;Cisco Application Control Engine (ACE);NETWORK_RESOURCE
When a server goes offline, Brocade ServerIron ADX should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;49;Brocade ServerIron ADX;NETWORK_RESOURCE
When a server goes offline, Array Networks APV Series should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;52;Array Networks APV Series;NETWORK_RESOURCE
When a server goes offline, Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM) should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;101;Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM);NETWORK_RESOURCE
When a server goes offline, Radware LinkProof NG should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;47;Radware LinkProof NG;NETWORK_RESOURCE
When a server goes offline, NGINX Plus should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;37;NGINX Plus;NETWORK_RESOURCE
When a server goes offline, HAProxy should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;34;HAProxy;NETWORK_RESOURCE
When a server goes offline, Amazon Elastic Load Balancer (ELB) should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;61;Amazon Elastic Load Balancer (ELB);NETWORK_RESOURCE
When a server goes offline, Microsoft Azure Load Balancer should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;56;Microsoft Azure Load Balancer;NETWORK_RESOURCE
When a server goes offline, Google Cloud Load Balancer should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;53;Google Cloud Load Balancer;NETWORK_RESOURCE
When a server goes offline, Kemp Edge Security Pack (ESP) should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;56;Kemp Edge Security Pack (ESP);NETWORK_RESOURCE
When a server goes offline, Avi Networks Load Balancer should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;53;Avi Networks Load Balancer;NETWORK_RESOURCE
When a server goes offline, Fortinet FortiADC should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;44;Fortinet FortiADC;NETWORK_RESOURCE
When a server goes offline, Radware FastView should seamlessly redirect traffic to active servers to ensure uninterrupted service.;28;43;Radware FastView;NETWORK_RESOURCE
F5 BIG-IP Load Balancer should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;22;F5 BIG-IP Load Balancer;NETWORK_RESOURCE
Citrix ADC (formerly NetScaler ADC) should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;34;Citrix ADC (formerly NetScaler ADC);NETWORK_RESOURCE
Kemp LoadMaster should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;14;Kemp LoadMaster;NETWORK_RESOURCE
Barracuda Load Balancer ADC should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;26;Barracuda Load Balancer ADC;NETWORK_RESOURCE
Radware Alteon ADC should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;17;Radware Alteon ADC;NETWORK_RESOURCE
A10 Networks Thunder ADC should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;23;A10 Networks Thunder ADC;NETWORK_RESOURCE
Cisco Application Control Engine (ACE) should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;37;Cisco Application Control Engine (ACE);NETWORK_RESOURCE
Brocade ServerIron ADX should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;21;Brocade ServerIron ADX;NETWORK_RESOURCE
Array Networks APV Series should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;24;Array Networks APV Series;NETWORK_RESOURCE
Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM) should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;73;Pulse Secure Pulse Virtual Traffic Manager (formerly known as Brocade vTM);NETWORK_RESOURCE
Radware LinkProof NG should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;19;Radware LinkProof NG;NETWORK_RESOURCE
NGINX Plus should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;9;NGINX Plus;NETWORK_RESOURCE
HAProxy should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;6;HAProxy;NETWORK_RESOURCE
Amazon Elastic Load Balancer (ELB) should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;33;Amazon Elastic Load Balancer (ELB);NETWORK_RESOURCE
Microsoft Azure Load Balancer should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;28;Microsoft Azure Load Balancer;NETWORK_RESOURCE
Google Cloud Load Balancer should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;25;Google Cloud Load Balancer;NETWORK_RESOURCE
Kemp Edge Security Pack (ESP) should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;28;Kemp Edge Security Pack (ESP);NETWORK_RESOURCE
Avi Networks Load Balancer should monitor the health and availability of backend servers in real-time, adjusting load distribution accordingly.;0;25;Avi Networks Load Balancer;NETWORK_RESOURCE
