Sentence;first;last;name;type
When a device in the manufacturing line experiences a connection issue, Nginx Proxy Server should redirect its traffic to an alternative server.;72;89;Nginx Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Apache HTTP Server with Proxy Module should redirect its traffic to an alternative server.;72;107;Apache HTTP Server with Proxy Module;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, HAProxy Load Balancer and Proxy Server should redirect its traffic to an alternative server.;72;109;HAProxy Load Balancer and Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Squid Proxy Server should redirect its traffic to an alternative server.;72;89;Squid Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Microsoft Internet Security and Acceleration (ISA) Server should redirect its traffic to an alternative server.;72;128;Microsoft Internet Security and Acceleration (ISA) Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, F5 BIG-IP Proxy Server should redirect its traffic to an alternative server.;72;93;F5 BIG-IP Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Citrix NetScaler Proxy Server should redirect its traffic to an alternative server.;72;100;Citrix NetScaler Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, NGINX Plus Proxy Server should redirect its traffic to an alternative server.;72;94;NGINX Plus Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Varnish Cache Proxy Server should redirect its traffic to an alternative server.;72;97;Varnish Cache Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Privoxy Proxy Server should redirect its traffic to an alternative server.;72;91;Privoxy Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Polipo Proxy Server should redirect its traffic to an alternative server.;72;90;Polipo Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Pound Reverse Proxy and Load Balancer should redirect its traffic to an alternative server.;72;108;Pound Reverse Proxy and Load Balancer;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Tinyproxy should redirect its traffic to an alternative server.;72;80;Tinyproxy;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Caddy Server with Proxy Module should redirect its traffic to an alternative server.;72;101;Caddy Server with Proxy Module;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Traefik Reverse Proxy and Load Balancer should redirect its traffic to an alternative server.;72;110;Traefik Reverse Proxy and Load Balancer;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Envoy Proxy should redirect its traffic to an alternative server.;72;82;Envoy Proxy;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Apache Traffic Server should redirect its traffic to an alternative server.;72;92;Apache Traffic Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, H2O HTTP/2 Server with Proxy Module should redirect its traffic to an alternative server.;72;106;H2O HTTP/2 Server with Proxy Module;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, Artica Proxy Server should redirect its traffic to an alternative server.;72;90;Artica Proxy Server;NETWORK_RESOURCE
When a device in the manufacturing line experiences a connection issue, LiteSpeed Web Server with Proxy Module should redirect its traffic to an alternative server.;72;109;LiteSpeed Web Server with Proxy Module;NETWORK_RESOURCE
Upon receiving a large volume of requests, Nginx Proxy Server should distribute the load evenly among the connected IoT devices.;43;60;Nginx Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Apache HTTP Server with Proxy Module should distribute the load evenly among the connected IoT devices.;43;78;Apache HTTP Server with Proxy Module;NETWORK_RESOURCE
Upon receiving a large volume of requests, HAProxy Load Balancer and Proxy Server should distribute the load evenly among the connected IoT devices.;43;80;HAProxy Load Balancer and Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Squid Proxy Server should distribute the load evenly among the connected IoT devices.;43;60;Squid Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Microsoft Internet Security and Acceleration (ISA) Server should distribute the load evenly among the connected IoT devices.;43;99;Microsoft Internet Security and Acceleration (ISA) Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, F5 BIG-IP Proxy Server should distribute the load evenly among the connected IoT devices.;43;64;F5 BIG-IP Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Citrix NetScaler Proxy Server should distribute the load evenly among the connected IoT devices.;43;71;Citrix NetScaler Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, NGINX Plus Proxy Server should distribute the load evenly among the connected IoT devices.;43;65;NGINX Plus Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Varnish Cache Proxy Server should distribute the load evenly among the connected IoT devices.;43;68;Varnish Cache Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Privoxy Proxy Server should distribute the load evenly among the connected IoT devices.;43;62;Privoxy Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Polipo Proxy Server should distribute the load evenly among the connected IoT devices.;43;61;Polipo Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, Pound Reverse Proxy and Load Balancer should distribute the load evenly among the connected IoT devices.;43;79;Pound Reverse Proxy and Load Balancer;NETWORK_RESOURCE
Upon receiving a large volume of requests, Tinyproxy should distribute the load evenly among the connected IoT devices.;43;51;Tinyproxy;NETWORK_RESOURCE
Upon receiving a large volume of requests, Caddy Server with Proxy Module should distribute the load evenly among the connected IoT devices.;43;72;Caddy Server with Proxy Module;NETWORK_RESOURCE
Upon receiving a large volume of requests, Traefik Reverse Proxy and Load Balancer should distribute the load evenly among the connected IoT devices.;43;81;Traefik Reverse Proxy and Load Balancer;NETWORK_RESOURCE
Upon receiving a large volume of requests, Envoy Proxy should distribute the load evenly among the connected IoT devices.;43;53;Envoy Proxy;NETWORK_RESOURCE
Upon receiving a large volume of requests, Apache Traffic Server should distribute the load evenly among the connected IoT devices.;43;63;Apache Traffic Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, H2O HTTP/2 Server with Proxy Module should distribute the load evenly among the connected IoT devices.;43;77;H2O HTTP/2 Server with Proxy Module;NETWORK_RESOURCE
Upon receiving a large volume of requests, Artica Proxy Server should distribute the load evenly among the connected IoT devices.;43;61;Artica Proxy Server;NETWORK_RESOURCE
Upon receiving a large volume of requests, LiteSpeed Web Server with Proxy Module should distribute the load evenly among the connected IoT devices.;43;80;LiteSpeed Web Server with Proxy Module;NETWORK_RESOURCE
In the event of a security breach, Nginx Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;52;Nginx Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Apache HTTP Server with Proxy Module should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;70;Apache HTTP Server with Proxy Module;NETWORK_RESOURCE
In the event of a security breach, HAProxy Load Balancer and Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;72;HAProxy Load Balancer and Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Squid Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;52;Squid Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Microsoft Internet Security and Acceleration (ISA) Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;91;Microsoft Internet Security and Acceleration (ISA) Server;NETWORK_RESOURCE
In the event of a security breach, F5 BIG-IP Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;56;F5 BIG-IP Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Citrix NetScaler Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;63;Citrix NetScaler Proxy Server;NETWORK_RESOURCE
In the event of a security breach, NGINX Plus Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;57;NGINX Plus Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Varnish Cache Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;60;Varnish Cache Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Privoxy Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;54;Privoxy Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Polipo Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;53;Polipo Proxy Server;NETWORK_RESOURCE
In the event of a security breach, Pound Reverse Proxy and Load Balancer should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;71;Pound Reverse Proxy and Load Balancer;NETWORK_RESOURCE
In the event of a security breach, Tinyproxy should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;43;Tinyproxy;NETWORK_RESOURCE
In the event of a security breach, Caddy Server with Proxy Module should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;64;Caddy Server with Proxy Module;NETWORK_RESOURCE
In the event of a security breach, Traefik Reverse Proxy and Load Balancer should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;73;Traefik Reverse Proxy and Load Balancer;NETWORK_RESOURCE
In the event of a security breach, Envoy Proxy should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;45;Envoy Proxy;NETWORK_RESOURCE
In the event of a security breach, Apache Traffic Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;55;Apache Traffic Server;NETWORK_RESOURCE
In the event of a security breach, H2O HTTP/2 Server with Proxy Module should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;69;H2O HTTP/2 Server with Proxy Module;NETWORK_RESOURCE
In the event of a security breach, Artica Proxy Server should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;53;Artica Proxy Server;NETWORK_RESOURCE
In the event of a security breach, LiteSpeed Web Server with Proxy Module should act as a firewall, filtering out suspicious traffic and protecting the IoT network.;35;72;LiteSpeed Web Server with Proxy Module;NETWORK_RESOURCE
Nginx Proxy Server plays a critical role in caching and optimizing data transmission between edge devices and the cloud infrastructure.;0;17;Nginx Proxy Server;NETWORK_RESOURCE
Apache HTTP Server with Proxy Module plays a critical role in caching and optimizing data transmission between edge devices and the cloud infrastructure.;0;35;Apache HTTP Server with Proxy Module;NETWORK_RESOURCE
HAProxy Load Balancer and Proxy Server plays a critical role in caching and optimizing data transmission between edge devices and the cloud infrastructure.;0;37;HAProxy Load Balancer and Proxy Server;NETWORK_RESOURCE
