Sentence;first;last;name;type
When a device detects a security breach, Cisco AnyConnect should immediately encrypt all the communication channels.;41;56;Cisco AnyConnect;NETWORK_RESOURCE
When a device detects a security breach, Fortinet FortiClient should immediately encrypt all the communication channels.;41;60;Fortinet FortiClient;NETWORK_RESOURCE
When a device detects a security breach, Palo Alto Networks GlobalProtect should immediately encrypt all the communication channels.;41;72;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
When a device detects a security breach, Juniper Networks Pulse Secure should immediately encrypt all the communication channels.;41;69;Juniper Networks Pulse Secure;NETWORK_RESOURCE
When a device detects a security breach, Check Point Endpoint Security VPN should immediately encrypt all the communication channels.;41;73;Check Point Endpoint Security VPN;NETWORK_RESOURCE
When a device detects a security breach, SonicWall Global VPN Client should immediately encrypt all the communication channels.;41;67;SonicWall Global VPN Client;NETWORK_RESOURCE
When a device detects a security breach, OpenVPN Access Server should immediately encrypt all the communication channels.;41;61;OpenVPN Access Server;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using Cisco AnyConnect.;81;96;Cisco AnyConnect;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using Fortinet FortiClient.;81;100;Fortinet FortiClient;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using Palo Alto Networks GlobalProtect.;81;112;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using Juniper Networks Pulse Secure.;81;109;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using Check Point Endpoint Security VPN.;81;113;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using SonicWall Global VPN Client.;81;107;SonicWall Global VPN Client;NETWORK_RESOURCE
The IoT gateway needs to establish a secure connection to the cloud server using OpenVPN Access Server.;81;101;OpenVPN Access Server;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through Cisco AnyConnect.;100;115;Cisco AnyConnect;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through Fortinet FortiClient.;100;119;Fortinet FortiClient;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through Palo Alto Networks GlobalProtect.;100;131;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through Juniper Networks Pulse Secure.;100;128;Juniper Networks Pulse Secure;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through Check Point Endpoint Security VPN.;100;132;Check Point Endpoint Security VPN;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through SonicWall Global VPN Client.;100;126;SonicWall Global VPN Client;NETWORK_RESOURCE
Upon receiving sensor data, the edge node should securely transmit it to the central server through OpenVPN Access Server.;100;120;OpenVPN Access Server;NETWORK_RESOURCE
In case of a network outage, Cisco AnyConnect should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;44;Cisco AnyConnect;NETWORK_RESOURCE
In case of a network outage, Fortinet FortiClient should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;48;Fortinet FortiClient;NETWORK_RESOURCE
In case of a network outage, Palo Alto Networks GlobalProtect should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;60;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
In case of a network outage, Juniper Networks Pulse Secure should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;57;Juniper Networks Pulse Secure;NETWORK_RESOURCE
In case of a network outage, Check Point Endpoint Security VPN should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;61;Check Point Endpoint Security VPN;NETWORK_RESOURCE
In case of a network outage, SonicWall Global VPN Client should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;55;SonicWall Global VPN Client;NETWORK_RESOURCE
In case of a network outage, OpenVPN Access Server should automatically switch to a backup VPN connection to ensure uninterrupted data flow.;29;49;OpenVPN Access Server;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of Cisco AnyConnect.;104;119;Cisco AnyConnect;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of Fortinet FortiClient.;104;123;Fortinet FortiClient;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of Palo Alto Networks GlobalProtect.;104;135;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of Juniper Networks Pulse Secure.;104;132;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of Check Point Endpoint Security VPN.;104;136;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of SonicWall Global VPN Client.;104;130;SonicWall Global VPN Client;NETWORK_RESOURCE
The IoT platform should provide a user-friendly interface to configure and manage multiple instances of OpenVPN Access Server.;104;124;OpenVPN Access Server;NETWORK_RESOURCE
When a firmware update is initiated, Cisco AnyConnect should temporarily suspend VPN connections to prevent any interruptions.;37;52;Cisco AnyConnect;NETWORK_RESOURCE
When a firmware update is initiated, Fortinet FortiClient should temporarily suspend VPN connections to prevent any interruptions.;37;56;Fortinet FortiClient;NETWORK_RESOURCE
When a firmware update is initiated, Palo Alto Networks GlobalProtect should temporarily suspend VPN connections to prevent any interruptions.;37;68;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
When a firmware update is initiated, Juniper Networks Pulse Secure should temporarily suspend VPN connections to prevent any interruptions.;37;65;Juniper Networks Pulse Secure;NETWORK_RESOURCE
When a firmware update is initiated, Check Point Endpoint Security VPN should temporarily suspend VPN connections to prevent any interruptions.;37;69;Check Point Endpoint Security VPN;NETWORK_RESOURCE
When a firmware update is initiated, SonicWall Global VPN Client should temporarily suspend VPN connections to prevent any interruptions.;37;63;SonicWall Global VPN Client;NETWORK_RESOURCE
When a firmware update is initiated, OpenVPN Access Server should temporarily suspend VPN connections to prevent any interruptions.;37;57;OpenVPN Access Server;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using Cisco AnyConnect.;101;116;Cisco AnyConnect;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using Fortinet FortiClient.;101;120;Fortinet FortiClient;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using Palo Alto Networks GlobalProtect.;101;132;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using Juniper Networks Pulse Secure.;101;129;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using Check Point Endpoint Security VPN.;101;133;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using SonicWall Global VPN Client.;101;127;SonicWall Global VPN Client;NETWORK_RESOURCE
The industrial control system should establish a VPN tunnel with the remote monitoring station using OpenVPN Access Server.;101;121;OpenVPN Access Server;NETWORK_RESOURCE
Upon detecting unusual network activity, Cisco AnyConnect should generate an alert and block any suspicious traffic.;41;56;Cisco AnyConnect;NETWORK_RESOURCE
Upon detecting unusual network activity, Fortinet FortiClient should generate an alert and block any suspicious traffic.;41;60;Fortinet FortiClient;NETWORK_RESOURCE
Upon detecting unusual network activity, Palo Alto Networks GlobalProtect should generate an alert and block any suspicious traffic.;41;72;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
Upon detecting unusual network activity, Juniper Networks Pulse Secure should generate an alert and block any suspicious traffic.;41;69;Juniper Networks Pulse Secure;NETWORK_RESOURCE
Upon detecting unusual network activity, Check Point Endpoint Security VPN should generate an alert and block any suspicious traffic.;41;73;Check Point Endpoint Security VPN;NETWORK_RESOURCE
Upon detecting unusual network activity, SonicWall Global VPN Client should generate an alert and block any suspicious traffic.;41;67;SonicWall Global VPN Client;NETWORK_RESOURCE
Upon detecting unusual network activity, OpenVPN Access Server should generate an alert and block any suspicious traffic.;41;61;OpenVPN Access Server;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using Cisco AnyConnect for efficient data exchange.;71;86;Cisco AnyConnect;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using Fortinet FortiClient for efficient data exchange.;71;90;Fortinet FortiClient;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using Palo Alto Networks GlobalProtect for efficient data exchange.;71;102;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using Juniper Networks Pulse Secure for efficient data exchange.;71;99;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using Check Point Endpoint Security VPN for efficient data exchange.;71;103;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using SonicWall Global VPN Client for efficient data exchange.;71;97;SonicWall Global VPN Client;NETWORK_RESOURCE
The IoT devices should establish secure peer-to-peer connections using OpenVPN Access Server for efficient data exchange.;71;91;OpenVPN Access Server;NETWORK_RESOURCE
In the event of a cyber-attack, Cisco AnyConnect should automatically isolate the affected devices from the rest of the network.;32;47;Cisco AnyConnect;NETWORK_RESOURCE
In the event of a cyber-attack, Fortinet FortiClient should automatically isolate the affected devices from the rest of the network.;32;51;Fortinet FortiClient;NETWORK_RESOURCE
In the event of a cyber-attack, Palo Alto Networks GlobalProtect should automatically isolate the affected devices from the rest of the network.;32;63;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
In the event of a cyber-attack, Juniper Networks Pulse Secure should automatically isolate the affected devices from the rest of the network.;32;60;Juniper Networks Pulse Secure;NETWORK_RESOURCE
In the event of a cyber-attack, Check Point Endpoint Security VPN should automatically isolate the affected devices from the rest of the network.;32;64;Check Point Endpoint Security VPN;NETWORK_RESOURCE
In the event of a cyber-attack, SonicWall Global VPN Client should automatically isolate the affected devices from the rest of the network.;32;58;SonicWall Global VPN Client;NETWORK_RESOURCE
In the event of a cyber-attack, OpenVPN Access Server should automatically isolate the affected devices from the rest of the network.;32;52;OpenVPN Access Server;NETWORK_RESOURCE
When a critical system event occurs, Cisco AnyConnect should prioritize the VPN bandwidth to ensure real-time data transmission.;37;52;Cisco AnyConnect;NETWORK_RESOURCE
When a critical system event occurs, Fortinet FortiClient should prioritize the VPN bandwidth to ensure real-time data transmission.;37;56;Fortinet FortiClient;NETWORK_RESOURCE
When a critical system event occurs, Palo Alto Networks GlobalProtect should prioritize the VPN bandwidth to ensure real-time data transmission.;37;68;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
When a critical system event occurs, Juniper Networks Pulse Secure should prioritize the VPN bandwidth to ensure real-time data transmission.;37;65;Juniper Networks Pulse Secure;NETWORK_RESOURCE
When a critical system event occurs, Check Point Endpoint Security VPN should prioritize the VPN bandwidth to ensure real-time data transmission.;37;69;Check Point Endpoint Security VPN;NETWORK_RESOURCE
When a critical system event occurs, SonicWall Global VPN Client should prioritize the VPN bandwidth to ensure real-time data transmission.;37;63;SonicWall Global VPN Client;NETWORK_RESOURCE
When a critical system event occurs, OpenVPN Access Server should prioritize the VPN bandwidth to ensure real-time data transmission.;37;57;OpenVPN Access Server;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via Cisco AnyConnect.;98;113;Cisco AnyConnect;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via Fortinet FortiClient.;98;117;Fortinet FortiClient;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via Palo Alto Networks GlobalProtect.;98;129;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via Juniper Networks Pulse Secure.;98;126;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via Check Point Endpoint Security VPN.;98;130;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via SonicWall Global VPN Client.;98;124;SonicWall Global VPN Client;NETWORK_RESOURCE
The agricultural monitoring system should securely transmit sensor data to the cloud platform via OpenVPN Access Server.;98;118;OpenVPN Access Server;NETWORK_RESOURCE
In case of unauthorized access attempts, Cisco AnyConnect should enforce strict authentication and encryption protocols.;41;56;Cisco AnyConnect;NETWORK_RESOURCE
In case of unauthorized access attempts, Fortinet FortiClient should enforce strict authentication and encryption protocols.;41;60;Fortinet FortiClient;NETWORK_RESOURCE
In case of unauthorized access attempts, Palo Alto Networks GlobalProtect should enforce strict authentication and encryption protocols.;41;72;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
In case of unauthorized access attempts, Juniper Networks Pulse Secure should enforce strict authentication and encryption protocols.;41;69;Juniper Networks Pulse Secure;NETWORK_RESOURCE
In case of unauthorized access attempts, Check Point Endpoint Security VPN should enforce strict authentication and encryption protocols.;41;73;Check Point Endpoint Security VPN;NETWORK_RESOURCE
In case of unauthorized access attempts, SonicWall Global VPN Client should enforce strict authentication and encryption protocols.;41;67;SonicWall Global VPN Client;NETWORK_RESOURCE
In case of unauthorized access attempts, OpenVPN Access Server should enforce strict authentication and encryption protocols.;41;61;OpenVPN Access Server;NETWORK_RESOURCE
When a device enters a low-power mode, Cisco AnyConnect should optimize the VPN connection to minimize energy consumption.;39;54;Cisco AnyConnect;NETWORK_RESOURCE
When a device enters a low-power mode, Fortinet FortiClient should optimize the VPN connection to minimize energy consumption.;39;58;Fortinet FortiClient;NETWORK_RESOURCE
When a device enters a low-power mode, Palo Alto Networks GlobalProtect should optimize the VPN connection to minimize energy consumption.;39;70;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
When a device enters a low-power mode, Juniper Networks Pulse Secure should optimize the VPN connection to minimize energy consumption.;39;67;Juniper Networks Pulse Secure;NETWORK_RESOURCE
When a device enters a low-power mode, Check Point Endpoint Security VPN should optimize the VPN connection to minimize energy consumption.;39;71;Check Point Endpoint Security VPN;NETWORK_RESOURCE
When a device enters a low-power mode, SonicWall Global VPN Client should optimize the VPN connection to minimize energy consumption.;39;65;SonicWall Global VPN Client;NETWORK_RESOURCE
When a device enters a low-power mode, OpenVPN Access Server should optimize the VPN connection to minimize energy consumption.;39;59;OpenVPN Access Server;NETWORK_RESOURCE
The healthcare monitoring solution should utilize Cisco AnyConnect to establish a secure connection between the wearable devices and the central server.;50;65;Cisco AnyConnect;NETWORK_RESOURCE
The healthcare monitoring solution should utilize Fortinet FortiClient to establish a secure connection between the wearable devices and the central server.;50;69;Fortinet FortiClient;NETWORK_RESOURCE
The healthcare monitoring solution should utilize Palo Alto Networks GlobalProtect to establish a secure connection between the wearable devices and the central server.;50;81;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The healthcare monitoring solution should utilize Juniper Networks Pulse Secure to establish a secure connection between the wearable devices and the central server.;50;78;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The healthcare monitoring solution should utilize Check Point Endpoint Security VPN to establish a secure connection between the wearable devices and the central server.;50;82;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The healthcare monitoring solution should utilize SonicWall Global VPN Client to establish a secure connection between the wearable devices and the central server.;50;76;SonicWall Global VPN Client;NETWORK_RESOURCE
The healthcare monitoring solution should utilize OpenVPN Access Server to establish a secure connection between the wearable devices and the central server.;50;70;OpenVPN Access Server;NETWORK_RESOURCE
Upon receiving a command from the central server, Cisco AnyConnect should securely relay it to the appropriate IoT devices.;50;65;Cisco AnyConnect;NETWORK_RESOURCE
Upon receiving a command from the central server, Fortinet FortiClient should securely relay it to the appropriate IoT devices.;50;69;Fortinet FortiClient;NETWORK_RESOURCE
Upon receiving a command from the central server, Palo Alto Networks GlobalProtect should securely relay it to the appropriate IoT devices.;50;81;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
Upon receiving a command from the central server, Juniper Networks Pulse Secure should securely relay it to the appropriate IoT devices.;50;78;Juniper Networks Pulse Secure;NETWORK_RESOURCE
Upon receiving a command from the central server, Check Point Endpoint Security VPN should securely relay it to the appropriate IoT devices.;50;82;Check Point Endpoint Security VPN;NETWORK_RESOURCE
Upon receiving a command from the central server, SonicWall Global VPN Client should securely relay it to the appropriate IoT devices.;50;76;SonicWall Global VPN Client;NETWORK_RESOURCE
Upon receiving a command from the central server, OpenVPN Access Server should securely relay it to the appropriate IoT devices.;50;70;OpenVPN Access Server;NETWORK_RESOURCE
The smart city infrastructure should utilize Cisco AnyConnect for secure communication between the sensors, actuators, and the control center.;45;60;Cisco AnyConnect;NETWORK_RESOURCE
The smart city infrastructure should utilize Fortinet FortiClient for secure communication between the sensors, actuators, and the control center.;45;64;Fortinet FortiClient;NETWORK_RESOURCE
The smart city infrastructure should utilize Palo Alto Networks GlobalProtect for secure communication between the sensors, actuators, and the control center.;45;76;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The smart city infrastructure should utilize Juniper Networks Pulse Secure for secure communication between the sensors, actuators, and the control center.;45;73;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The smart city infrastructure should utilize Check Point Endpoint Security VPN for secure communication between the sensors, actuators, and the control center.;45;77;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The smart city infrastructure should utilize SonicWall Global VPN Client for secure communication between the sensors, actuators, and the control center.;45;71;SonicWall Global VPN Client;NETWORK_RESOURCE
The smart city infrastructure should utilize OpenVPN Access Server for secure communication between the sensors, actuators, and the control center.;45;65;OpenVPN Access Server;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, Cisco AnyConnect should prioritize critical IoT traffic over non-essential data.;48;63;Cisco AnyConnect;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, Fortinet FortiClient should prioritize critical IoT traffic over non-essential data.;48;67;Fortinet FortiClient;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, Palo Alto Networks GlobalProtect should prioritize critical IoT traffic over non-essential data.;48;79;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, Juniper Networks Pulse Secure should prioritize critical IoT traffic over non-essential data.;48;76;Juniper Networks Pulse Secure;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, Check Point Endpoint Security VPN should prioritize critical IoT traffic over non-essential data.;48;80;Check Point Endpoint Security VPN;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, SonicWall Global VPN Client should prioritize critical IoT traffic over non-essential data.;48;74;SonicWall Global VPN Client;NETWORK_RESOURCE
When the network bandwidth exceeds a threshold, OpenVPN Access Server should prioritize critical IoT traffic over non-essential data.;48;68;OpenVPN Access Server;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using Cisco AnyConnect for remote control and monitoring.;90;105;Cisco AnyConnect;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using Fortinet FortiClient for remote control and monitoring.;90;109;Fortinet FortiClient;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using Palo Alto Networks GlobalProtect for remote control and monitoring.;90;121;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using Juniper Networks Pulse Secure for remote control and monitoring.;90;118;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using Check Point Endpoint Security VPN for remote control and monitoring.;90;122;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using SonicWall Global VPN Client for remote control and monitoring.;90;116;SonicWall Global VPN Client;NETWORK_RESOURCE
The home automation system should establish a VPN tunnel with the user's mobile app using OpenVPN Access Server for remote control and monitoring.;90;110;OpenVPN Access Server;NETWORK_RESOURCE
Upon detecting a compromised device, Cisco AnyConnect should initiate a security protocol to contain the threat and protect the rest of the network.;37;52;Cisco AnyConnect;NETWORK_RESOURCE
Upon detecting a compromised device, Fortinet FortiClient should initiate a security protocol to contain the threat and protect the rest of the network.;37;56;Fortinet FortiClient;NETWORK_RESOURCE
Upon detecting a compromised device, Palo Alto Networks GlobalProtect should initiate a security protocol to contain the threat and protect the rest of the network.;37;68;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
Upon detecting a compromised device, Juniper Networks Pulse Secure should initiate a security protocol to contain the threat and protect the rest of the network.;37;65;Juniper Networks Pulse Secure;NETWORK_RESOURCE
Upon detecting a compromised device, Check Point Endpoint Security VPN should initiate a security protocol to contain the threat and protect the rest of the network.;37;69;Check Point Endpoint Security VPN;NETWORK_RESOURCE
Upon detecting a compromised device, SonicWall Global VPN Client should initiate a security protocol to contain the threat and protect the rest of the network.;37;63;SonicWall Global VPN Client;NETWORK_RESOURCE
Upon detecting a compromised device, OpenVPN Access Server should initiate a security protocol to contain the threat and protect the rest of the network.;37;57;OpenVPN Access Server;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via Cisco AnyConnect.;102;117;Cisco AnyConnect;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via Fortinet FortiClient.;102;121;Fortinet FortiClient;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via Palo Alto Networks GlobalProtect.;102;133;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via Juniper Networks Pulse Secure.;102;130;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via Check Point Endpoint Security VPN.;102;134;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via SonicWall Global VPN Client.;102;128;SonicWall Global VPN Client;NETWORK_RESOURCE
The asset tracking solution should securely transmit location data to the fleet management system via OpenVPN Access Server.;102;122;OpenVPN Access Server;NETWORK_RESOURCE
When a power outage occurs, Cisco AnyConnect should automatically restore the VPN connections once the network is back online.;28;43;Cisco AnyConnect;NETWORK_RESOURCE
When a power outage occurs, Fortinet FortiClient should automatically restore the VPN connections once the network is back online.;28;47;Fortinet FortiClient;NETWORK_RESOURCE
When a power outage occurs, Palo Alto Networks GlobalProtect should automatically restore the VPN connections once the network is back online.;28;59;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
When a power outage occurs, Juniper Networks Pulse Secure should automatically restore the VPN connections once the network is back online.;28;56;Juniper Networks Pulse Secure;NETWORK_RESOURCE
When a power outage occurs, Check Point Endpoint Security VPN should automatically restore the VPN connections once the network is back online.;28;60;Check Point Endpoint Security VPN;NETWORK_RESOURCE
When a power outage occurs, SonicWall Global VPN Client should automatically restore the VPN connections once the network is back online.;28;54;SonicWall Global VPN Client;NETWORK_RESOURCE
When a power outage occurs, OpenVPN Access Server should automatically restore the VPN connections once the network is back online.;28;48;OpenVPN Access Server;NETWORK_RESOURCE
The industrial monitoring platform should use Cisco AnyConnect to establish secure communication between the distributed sensors and the central server.;46;61;Cisco AnyConnect;NETWORK_RESOURCE
The industrial monitoring platform should use Fortinet FortiClient to establish secure communication between the distributed sensors and the central server.;46;65;Fortinet FortiClient;NETWORK_RESOURCE
The industrial monitoring platform should use Palo Alto Networks GlobalProtect to establish secure communication between the distributed sensors and the central server.;46;77;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
The industrial monitoring platform should use Juniper Networks Pulse Secure to establish secure communication between the distributed sensors and the central server.;46;74;Juniper Networks Pulse Secure;NETWORK_RESOURCE
The industrial monitoring platform should use Check Point Endpoint Security VPN to establish secure communication between the distributed sensors and the central server.;46;78;Check Point Endpoint Security VPN;NETWORK_RESOURCE
The industrial monitoring platform should use SonicWall Global VPN Client to establish secure communication between the distributed sensors and the central server.;46;72;SonicWall Global VPN Client;NETWORK_RESOURCE
The industrial monitoring platform should use OpenVPN Access Server to establish secure communication between the distributed sensors and the central server.;46;66;OpenVPN Access Server;NETWORK_RESOURCE
Upon detecting a data breach, Cisco AnyConnect should immediately disconnect the affected device from the network to prevent further damage.;30;45;Cisco AnyConnect;NETWORK_RESOURCE
Upon detecting a data breach, Fortinet FortiClient should immediately disconnect the affected device from the network to prevent further damage.;30;49;Fortinet FortiClient;NETWORK_RESOURCE
Upon detecting a data breach, Palo Alto Networks GlobalProtect should immediately disconnect the affected device from the network to prevent further damage.;30;61;Palo Alto Networks GlobalProtect;NETWORK_RESOURCE
