Sentence;first;last;name;type
Apache HTTP Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;17;Apache HTTP Server;NETWORK_RESOURCE
Microsoft Internet Information Services (IIS) should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;44;Microsoft Internet Information Services (IIS);NETWORK_RESOURCE
Nginx should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;4;Nginx;NETWORK_RESOURCE
Lighttpd should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;7;Lighttpd;NETWORK_RESOURCE
Google Web Server (GWS) should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;22;Google Web Server (GWS);NETWORK_RESOURCE
LiteSpeed Web Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;19;LiteSpeed Web Server;NETWORK_RESOURCE
IBM HTTP Server (IHS) should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;20;IBM HTTP Server (IHS);NETWORK_RESOURCE
Oracle HTTP Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;17;Oracle HTTP Server;NETWORK_RESOURCE
Cherokee Web Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;18;Cherokee Web Server;NETWORK_RESOURCE
Hiawatha Web Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;18;Hiawatha Web Server;NETWORK_RESOURCE
Abyss Web Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;15;Abyss Web Server;NETWORK_RESOURCE
Tornado Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;13;Tornado Server;NETWORK_RESOURCE
Jetty should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;4;Jetty;NETWORK_RESOURCE
Gunicorn should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;7;Gunicorn;NETWORK_RESOURCE
CherryPy should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;7;CherryPy;NETWORK_RESOURCE
Node.js (with appropriate HTTP server module) should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;44;Node.js (with appropriate HTTP server module);NETWORK_RESOURCE
GlassFish Server should handle incoming HTTP requests and serve dynamic content based on sensor data.;0;15;GlassFish Server;NETWORK_RESOURCE
