id;IoT_threat_name;description;reference
HTT;Natural Wear;Over time, the IoT actuator's hardware may degrade, leading to failures or malfunctions.;
HTT;Malfunction/Faulty Hardware;;
PLTT;Deactivation;;
PLTT;Physical Damage;An attacker may physically tamper with the IoT actuator to gain unauthorized access or to disable it.;
NTT;Earthquakes;;
NTT;Hurricanes;;
NTT;Floods;;
NTT;Fire;;
PLTT;Tempering;An attacker may physically tamper with the IoT actuator to gain unauthorized access or to disable it.;
PLTT;Theft;Theft can be a significant threat to IoT actuators as they are often used to control physical devices or machinery. If an attacker gains access to an IoT actuator, they can manipulate it to cause damage or steal valuable equipment. For example, an attacker could use a compromised actuator to shut down a production line or cause a malfunction in a critical system, leading to significant financial losses. Additionally, if the actuator is stolen, it can be reprogrammed and used for malicious purposes, such as controlling other IoT devices or launching cyber attacks. To mitigate this threat, it's essential to secure IoT actuators physically and ensure that they are only accessible to authorized personnel. This can be done by implementing access controls, monitoring usage, and installing security cameras or alarms.;Chandrappa, D.R., Pavan, H.R., Sagar, M.V. and Dakshayini, M., 2018, March. Iot security solution to avoid theft. In 2018 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET) (pp. 1-3). IEEE.
NTT;Lightning Strikes;Lightning strikes can be a potential threat to IoT actuators. When a lightning strike occurs, it can generate a high voltage surge that can damage the electronic components of an IoT actuator, such as the controller, power supply, and communication interface. This can lead to the failure of the actuator and potentially cause safety hazards or financial losses. To mitigate this risk, it is recommended to install surge protectors or lightning arresters between the IoT actuator and the power source or communication network. These devices can help to divert the high voltage surge away from the actuator and protect it from damage. Additionally, it is important to regularly inspect and maintain the surge protection devices to ensure their effectiveness.;Mialdea-Flor, I., Segura-Garcia, J., Felici-Castell, S., Garcia-Pineda, M., Alcaraz-Calero, J.M. and Navarro-Camba, E., 2019. Development of a low-cost IoT system for lightning strike detection and location. Electronics, 8(12), p.1512.
NTT;Landslides;Landslides can pose a threat to IoT actuators in a few ways. First, if an IoT actuator is installed in an area that is at risk of landslides, the physical infrastructure supporting the actuator could be damaged or destroyed by the landslide. This could cause the actuator to malfunction or become inoperable. Second, if the landslide causes a power outage, the IoT actuator may not be able to function due to a lack of power. Finally, if the landslide damages the network infrastructure that the IoT actuator relies on to communicate with other devices, the actuator may not be able to transmit data or receive commands. All of these factors could potentially impact the effectiveness and reliability of IoT actuators in landslide-prone areas.;Oguz, E.A., Robinson, K., Depina, I. and Thakur, V., 2019, December. IoT-based strategies for risk management of rainfall-induced landslides: a review. In Proceedings of the 7th International Symposium on Geotechnical Safety and Risk (ISGSR 2019), Taipei, Taiwan (pp. 11-13).
NTT;Tornadoes;Tornadoes can also be a potential threat to IoT actuators. Tornadoes can generate strong winds and debris that can damage or destroy IoT devices and their associated infrastructure, such as power lines and communication networks. In addition, tornadoes can also cause power outages, which can disrupt the operation of IoT devices that rely on electricity. To mitigate the impact of tornadoes on IoT devices, it is important to consider the location and installation of the devices, as well as the use of backup power sources and robust communication networks.;Liu, Y., Wang, K., Qian, K., Du, M. and Guo, S., 2019. Tornado: Enabling blockchain in heterogeneous Internet of Things through a space-structured approach. IEEE Internet of Things Journal, 7(2), pp.1273-1286.
HTT;Cyberattacks;Cyberattacks pose a significant threat to IoT actuators. Because IoT actuators are typically connected to the internet and other devices, they can be vulnerable to a wide range of cyber threats, including hacking, malware, and denial-of-service attacks. If an attacker gains access to an IoT actuator, they may be able to control its behavior, alter its settings, or even cause it to malfunction or shut down completely. This could have serious consequences, especially if the actuator is being used to control critical infrastructure or other important systems. To mitigate the risk of cyberattacks, it is important to implement strong security measures, such as using encryption and authentication protocols, regularly updating software and firmware, and monitoring network traffic for signs of suspicious activity. Additionally, it is important to train users and administrators on best practices for cybersecurity and to have a plan in place for responding to cyber incidents.;Stellios, I., Kotzanikolaou, P., Psarakis, M., Alcaraz, C. and Lopez, J., 2018. A survey of iot-enabled cyberattacks: Assessing attack paths to critical infrastructures and services. IEEE Communications Surveys & Tutorials, 20(4), pp.3453-3495.
HTT;Power Surges;Power surges can pose a threat to IoT actuators because they can damage or destroy the electronic components of the actuator. A power surge occurs when the voltage in an electrical circuit spikes above its normal level, which can happen due to lightning strikes, power outages, or other electrical disturbances. If an IoT actuator is not properly protected against power surges, a power surge could cause it to malfunction or become inoperable. To mitigate the risk of power surges, it is important to install surge protectors or uninterruptible power supplies (UPS) that can regulate and stabilize the voltage of the electrical circuit. Additionally, it is important to ensure that the IoT actuator is properly grounded and that all electrical connections are secure and well-maintained. By taking these steps, you can help to protect your IoT actuators from the damaging effects of power surges.;Antić, B., Bulat, M., Pejić, D., Gotovac, Z. and Mitrović, Z., 2023. Batteryless IoT module for sensing and signaling failures of passive power accessories. Microprocessors and Microsystems, 98, p.104809.
NLTT;Man in The Middle Attack;Attackers can intercept and modify communications between the IoT actuator and other devices, allowing them to eavesdrop or manipulate data.;
NLTT;DoS/DDoS in Network Layer;Attackers can flood the IoT actuator's network with traffic, causing it to become overwhelmed and unresponsive.;
