id;IoT_threat_name;description;reference
ALTT;Response Error;Response errors can cause IoT devices to malfunction or fail, leading to data loss or corruption.;
ALTT;Malware;Malware can infect IoT devices, compromising their security and allowing attackers to steal sensitive data or launch further attacks.;
ALTT;Malicious Scripts;Malicious scripts can exploit vulnerabilities in IoT devices, compromising their security and allowing attackers to steal sensitive data or launch further attacks.;
ALTT;Denial of Service in Application Layer;Denial of Service attacks can overload IoT devices with requests, causing them to malfunction or fail and disrupting network connectivity.;
ALTT;Botnets;Botnets can infect IoT devices and use them to launch further attacks, compromising their security and allowing attackers to steal sensitive data.;
PLTT;Electromagnetic Interference (EMI);Electromagnetic interference (EMI) is a type of interference that can occur in IoT networks when electromagnetic waves from one device interfere with the operation of another device. This interference can cause data corruption, data loss, and other issues that can impact the reliability and performance of IoT networks. EMI can be caused by a variety of sources, including power lines, motors, and other electronic devices. To mitigate the risk of EMI in IoT networks, it is important to design devices and networks with appropriate shielding and grounding to minimize the impact of electromagnetic waves. Additionally, IoT devices should be tested to ensure that they are not emitting excessive electromagnetic radiation that could interfere with other devices. Finally, IoT networks should be designed with redundancy and failover mechanisms to ensure that data can be rerouted in the event of interference or other disruptions to network functionality.;Smolenski, R., 2012. Conducted electromagnetic interference (EMI) in smart grids. Springer Science & Business Media.
NTT;Extreme Temperatures;Extreme temperatures can be a threat to IoT network resources. IoT devices may not be designed to operate in extreme temperatures, and exposure to high or low temperatures can cause device malfunction or failure. For example, high temperatures can cause electronic components to overheat and fail, while low temperatures can cause battery life to shorten or devices to freeze up. To mitigate this risk, IoT devices should be designed to operate within a specific range of temperatures, and organizations should ensure that devices are not exposed to extreme temperatures outside of this range. Additionally, devices can be housed in protective enclosures or placed in temperature-controlled environments to minimize the risk of temperature-related damage.;Ikpehai, A., Adebisi, B., Rabie, K.M., Anoh, K., Ande, R.E., Hammoudeh, M., Gacanin, H. and Mbanaso, U.M., 2018. Low-power wide area network technologies for Internet-of-Things: A comparative review. IEEE Internet of Things Journal, 6(2), pp.2225-2240.
PLTT;Tampering;Physical tampering can compromise the security of IoT devices, allowing unauthorized access to sensitive data.;
NTT;Floods;Floods can damage or destroy IoT devices and disrupt network connectivity.;
NTT;Lightning strikes;Lightning strikes can be a significant threat to IoT network resources. Lightning strikes can cause power surges or electrical discharges that can damage or destroy electronic devices, including IoT devices. Additionally, lightning strikes can cause electromagnetic interference (EMI) that can disrupt or corrupt data transmissions between IoT devices. To mitigate this risk, IoT devices should be designed with appropriate surge protection and grounding mechanisms to protect against lightning strikes. Additionally, organizations should ensure that IoT devices are not installed in areas where they are likely to be struck by lightning, and should have contingency plans in place to deal with potential disruptions to IoT device functionality caused by lightning strikes or other extreme weather events.;Mialdea-Flor, I., Segura-Garcia, J., Felici-Castell, S., Garcia-Pineda, M., Alcaraz-Calero, J.M. and Navarro-Camba, E., 2019. Development of a low-cost IoT system for lightning strike detection and location. Electronics, 8(12), p.1512.
HTT;Battery Low;Power failures can cause IoT devices to shut down or malfunction, leading to data loss or corruption.;
HTT;Hardware Failure;Hardware failure is a common threat to IoT network resources. It can occur due to various reasons, such as manufacturing defects, wear and tear, and environmental factors. When hardware fails, it can cause IoT devices to malfunction, leading to data loss, reduced performance, and even complete failure. For example, if a sensor or other IoT device fails to communicate with the network due to hardware failure, it can cause a disruption in the data flow, leading to incorrect or missing information. Similarly, if a device's power supply or battery fails, it can cause the device to shut down, leading to data loss or other issues. To mitigate the risk of hardware failure, IoT developers should design devices with high-quality components and perform rigorous testing to ensure their reliability. Additionally, organizations should have contingency plans in place to quickly replace or repair failed devices to minimize disruptions to the network.;Abed, S.E., Jaffal, R. and Mohd, B.J., 2023. A Review on Blockchain and IoT Integration from Energy, Security and Hardware Perspectives. Wireless Personal Communications, 129(3), pp.2079-2122.
HTT;Firmware Vulnerabilities;Firmware vulnerabilities can pose a significant threat to IoT network resources. Firmware is the software that is embedded in the IoT device's hardware, and it controls the device's functionality. If the firmware has vulnerabilities, it can be exploited by attackers to gain unauthorized access to the device, steal data, or use the device as a launching pad to attack other devices on the network. These vulnerabilities can arise from coding errors, design flaws, or failure to apply security patches and updates. Attackers can exploit these vulnerabilities by reverse engineering the firmware or using known exploits to gain access to the device. Once they gain access, they can modify the firmware to take control of the device, steal data, or launch attacks on other devices on the network. To mitigate the risk of firmware vulnerabilities, IoT developers should follow secure coding practices, perform regular security testing, and apply security patches and updates promptly. Additionally, IoT devices should be designed with secure boot mechanisms to ensure that only authorized firmware can be loaded onto the device. Organizations should also have a process in place to quickly identify and respond to firmware vulnerabilities to minimize the risk of exploitation.;Arakadakis, K., Charalampidis, P., Makrogiannakis, A. and Fragkiadakis, A., 2021. Firmware over-the-air programming techniques for IoT networks-a survey. ACM Computing Surveys (CSUR), 54(9), pp.1-36.
NLTT;Man-in-the-Middle (MitM) Attacks;MitM attacks can intercept and manipulate data traffic between IoT devices, allowing attackers to steal sensitive data or launch further attacks.;
NLTT;Network Errors;Network congestion can slow down or disrupt the communication between IoT devices, leading to reduced performance and functionality.;
ALTT;SQL injection attacks;SQL injection attacks are a type of cyber threat that can affect IoT network resources. In a SQL injection attack, a malicious actor exploits vulnerabilities in a web application or device's software to inject malicious SQL code into a database. This can allow the attacker to gain unauthorized access to sensitive data, modify or delete data, and even take control of the affected device. In the context of IoT, SQL injection attacks can be particularly dangerous because many IoT devices rely on web applications and databases to function. For example, a smart home system might use a web application to allow users to control their devices, and if this system is vulnerable to SQL injection attacks, an attacker could potentially gain access to the user's home network and connected devices. To mitigate the risk of SQL injection attacks, IoT developers should follow secure coding practices, such as validating user input and using parameterized queries. Additionally, organizations should regularly test their IoT devices and web applications for vulnerabilities and apply security patches as soon as they become available.;Clarke, J., 2009. SQL injection attacks and defense. Elsevier.
ALTT;Cross-site scripting attacks;Cross-site scripting (XSS) attacks can be a threat to IoT network resources. XSS attacks occur when an attacker injects malicious code into a web page viewed by another user, usually by exploiting a vulnerability in the website's code. When the victim views the page, the malicious code is executed, allowing the attacker to steal sensitive information or take control of the victim's device. In the context of IoT, XSS attacks can occur when web interfaces used to control IoT devices are vulnerable to injection attacks. Attackers can inject malicious code into these interfaces, allowing them to take control of the device or steal sensitive information. To mitigate this threat, IoT developers should ensure that web interfaces are designed with security in mind and that input validation is performed to prevent injection attacks. Additionally, users should be educated on the risks of clicking on suspicious links or downloading files from untrusted sources.;Grossman, J., Fogie, S., Hansen, R., Rager, A. and Petkov, P.D., 2007. XSS attacks: cross site scripting exploits and defense. Syngress.
PLTT;Vibration and Shock;Vibration and shock can be a significant threat to IoT network resources, especially for devices that are deployed in harsh environments or are subject to frequent movement or impact. Vibrations and shocks can cause physical damage to the hardware components of IoT devices, leading to malfunction or failure. For example, excessive vibration can cause components to loosen or detach, leading to electrical shorts or other issues. To mitigate this threat, IoT developers should design devices with appropriate shock and vibration resistance and perform rigorous testing to ensure their reliability. They should also consider using shock-absorbing materials and techniques to protect sensitive components from damage. Additionally, organizations should regularly inspect and maintain IoT devices to ensure they remain in good working condition and replace any damaged devices promptly.;Khademi, A., Raji, F. and Sadeghi, M., 2019, April. IoT enabled vibration monitoring toward smart maintenance. In 2019 3rd International Conference on Internet of Things and Applications (IoT) (pp. 1-6). IEEE.
NTT;Earthquakes;Earthquakes can damage IoT sensors and cause them to malfunction or fail completely.;
