id;IoT_threat_name;description;reference
ALTT;Response Error;;
ALTT;Malware;;
ALTT;Malicious Scripts;;
ALTT;Denial of Service in Application Layer;Denial of service attacks can overwhelm IoT devices with traffic, causing them to malfunction or fail.;
ALTT;Social Engineering;Attackers can use social engineering techniques to trick users into installing malicious applications or providing sensitive information.;
ALTT;Botnets;Attackers can use botnets to carry out distributed denial of service (DDoS) attacks on IoT applications.;
PLTT;Tampering;Attackers can physically tamper with sensors to alter the data they collect or disable them altogether.;
PLTT;Signal Interference;Interference from other devices or electromagnetic signals can disrupt sensor readings, leading to inaccurate data.;
PLTT;Power Supply Disruption;Power supply disruption can be a threat to IoT device resources. IoT devices rely on a stable power supply to function properly, and a disruption in the power supply can cause a variety of issues, including data loss, system crashes, and damage to hardware components. In the context of on-device resources, power supply disruption can cause the device to lose power and shut down, potentially leading to data loss or corruption. Additionally, power supply disruption can cause the device to reboot repeatedly, leading to increased wear and tear on hardware components and potentially shortening the lifespan of the device. To mitigate the risk of power supply disruption, it is important to ensure that IoT devices are properly installed and configured with backup power sources, such as batteries or uninterruptible power supplies (UPS). It is also important to regularly monitor the power supply and implement measures to reduce power consumption, such as optimizing software and hardware settings. In the event of a power supply disruption, it is important to have a plan in place to quickly restore power and minimize the impact on device resources.;Kimani, K., Oduol, V. and Langat, K., 2019. Cyber security challenges for IoT-based smart grid networks. International journal of critical infrastructure protection, 25, pp.36-49.
NTT;Extreme temperatures;Extreme temperatures can be a threat to IoT device resources because they can cause the devices to malfunction or even fail completely. High temperatures can cause electronic components to overheat and degrade, leading to reduced device performance or permanent damage. Conversely, low temperatures can cause batteries to drain more quickly or even freeze, which can also lead to device failure. In addition to direct effects on device components, extreme temperatures can also impact the surrounding environment, causing physical damage to the devices or making them more vulnerable to other types of threats such as moisture or dust. To mitigate the impact of extreme temperatures on IoT devices, it is important to consider factors such as device location, installation, and backup power sources, as well as implementing measures to regulate temperature and reduce power consumption.;Schubert, E.F. and Kim, J.K., 2005. Solid-state light sources getting smart. Science, 308(5726), pp.1274-1278.
NTT;Floods;Sensors located in areas prone to flooding or water damage may be damaged or destroyed, leading to data loss.;
NTT;Lightning strikes;Lightning strikes can be a significant threat to IoT device resources, as they can cause physical damage to the devices and disrupt their operation. A direct lightning strike can destroy an IoT device or cause it to malfunction, leading to data loss or system downtime. Even if a device is not directly struck by lightning, the electromagnetic fields generated by nearby lightning strikes can induce voltage spikes or electromagnetic interference, leading to data corruption or system instability. To mitigate the impact of lightning strikes on IoT devices, it is important to consider factors such as device location, grounding, and surge protection. Devices should be installed in areas that are less likely to be struck by lightning, and should be properly grounded to reduce the risk of damage from electrical surges. Additionally, surge protectors and other protective measures can be used to limit the impact of voltage spikes and electromagnetic interference on IoT devices.;Schubert, E.F. and Kim, J.K., 2005. Solid-state light sources getting smart. Science, 308(5726), pp.1274-1278.
HTT;Firmware attacks;Firmware attacks are a type of cyber attack that targets the firmware of an IoT device. Firmware is the software that is embedded in the hardware of a device, and it controls the device's functions. Firmware attacks can compromise the security of an IoT device by exploiting vulnerabilities in the firmware. In the context of IoT on-device resources, firmware attacks can be used to gain unauthorized access to the device's resources, modify its behavior, or extract sensitive information. For example, an attacker could use a firmware attack to disable security features on an IoT device, allowing them to access its data or use it as a platform for launching further attacks. To mitigate the risk of firmware attacks, it is important to ensure that IoT devices are running the latest firmware version and to implement security measures such as encryption, access control, and identity authentication. Additionally, regular firmware updates and vulnerability assessments can help to identify and address potential security issues before they can be exploited.;Bettayeb, M., Nasir, Q. and Talib, M.A., 2019, March. Firmware update attacks and security for IoT devices: Survey. In Proceedings of the ArabWIC 6th Annual International Conference Research Track (pp. 1-6).
