id;IoT_threat_name;description;reference
PLTT;Jamming;;
PLTT;Sleep Deprivation Attack;;
HTT;Energy Limitations;;
HTT;Computational Limitations;;
HTT;Mobility;;
NLTT;Sybil Attack;;
NLTT;Man in The Middle Attack;;
ALTT;Malware;;
NTT;Earthquakes;;
NTT;Hurricanes;;
NTT;Floods;;
NTT;Fire;;
PLTT;Tampering;This threat involves physical damage or tampering of the IoT sensors, which can lead to data loss or device failure.;
PLTT;Physical Damage;This threat involves physical damage or tampering of the IoT sensors, which can lead to data loss or device failure.;
PLTT;Electromagnetic Interference (EMI);Electromagnetic Interference (EMI) is a type of threat to IoT applications that occurs when the electromagnetic fields generated by one device interfere with the operation of another device. EMI can be caused by a variety of sources, including other electronic devices, power lines, and radio waves. When two electronic devices are in close proximity to each other, the electromagnetic fields they generate can interact with each other. This can cause interference that can disrupt the operation of one or both devices. For example, if an IoT device that uses wireless communication is located near a microwave oven, the electromagnetic field generated by the microwave oven can interfere with the wireless signal, causing the IoT device to malfunction or lose connectivity. EMI can also be caused by external sources, such as power lines or radio waves. Power lines can generate strong electromagnetic fields, which can interfere with nearby electronic devices. Radio waves can also cause EMI, particularly if they are in the same frequency range as the device's operating frequency. To mitigate the risk of EMI in IoT applications, it is important to carefully design devices and systems to minimize electromagnetic interference. This can include using shielding to protect devices from external sources of EMI, as well as designing devices to minimize their own electromagnetic emissions. It is also important to test devices and systems in real-world environments to identify and address any EMI issues that may arise.EMI can affect the performance of IoT sensors and cause data loss or device failure.;Mathur, P. and Raman, S., 2020. Electromagnetic interference (EMI): Measurement and reduction techniques. Journal of Electronic Materials, 49, pp.2975-2998.
PLTT;Radio Frequency (RF) Interference;Radio frequency (RF) interference is a type of electromagnetic interference (EMI) that can be a significant threat to IoT applications. RF interference occurs when unwanted radio frequency signals disrupt the normal operation of an electronic device or system. These signals may come from a variety of sources, including nearby electronic devices, power lines, and wireless transmissions. In IoT applications, RF interference can cause a range of problems, including lost connections, degraded performance, and even complete system failure. This is particularly problematic in applications where reliable and continuous connectivity is critical, such as in industrial automation, healthcare monitoring, and transportation systems. To mitigate the risk of RF interference, IoT devices and systems must be designed with appropriate shielding and filtering to reduce the impact of external RF signals. This may involve the use of specialized materials and components, as well as careful placement and grounding of devices. Additionally, it is important to thoroughly test IoT devices and systems in real-world environments to identify and address any potential sources of RF interference.;Gummadi, R., Wetherall, D., Greenstein, B. and Seshan, S., 2007. Understanding and mitigating the impact of RF interference on 802.11 networks. ACM SIGCOMM Computer Communication Review, 37(4), pp.385-396.
NTT;Extreme Temperatures;Extreme temperatures can be a threat to IoT applications as they can cause damage to electronic components and affect the performance and reliability of the devices. Extreme temperatures can be defined as temperatures that are either too high or too low for the normal operation of the device.  High temperatures can cause electronic components to overheat, which can lead to malfunctions or even permanent damage to the device. This can be particularly problematic in IoT applications where devices may be located in environments with high temperatures, such as industrial settings or outdoor environments. In addition, high temperatures can also affect the battery life of the device, causing it to drain more quickly than expected. Low temperatures can also be a threat to IoT applications, as they can cause the device to malfunction or even stop working altogether. Low temperatures can cause the battery to drain more quickly, and can also affect the performance of the device's sensors and other components. In addition, the expansion and contraction of materials due to temperature changes can cause mechanical stress on the device, which can lead to damage over time. To mitigate the threat of extreme temperatures, IoT devices can be designed with temperature sensors to monitor the temperature of the device and its surroundings. In addition, the device can be designed with materials that can withstand extreme temperatures or with cooling systems to prevent overheating. It is also important to test IoT devices in a range of temperatures to ensure that they can operate effectively in different environments.;Maraveas, C. and Bartzanas, T., 2021. Application of Internet of Things (IoT) for optimized greenhouse environments. AgriEngineering, 3(4), pp.954-970.
NTT;Lightning Strikes;Lightning strikes can pose a significant threat to IoT applications. Lightning is a natural phenomenon that occurs when there is a buildup of electrical charge in the atmosphere. When this charge is discharged, it can produce a high-voltage electrical current that can travel through the air and strike objects on the ground, including IoT devices. When a lightning strike hits an IoT device, it can cause significant damage to the device's electronic components. The high voltage can cause electrical arcing, which can damage or destroy sensitive electronic components. In addition, the electrical current can generate heat, which can also damage the device. To protect IoT devices from lightning strikes, it is important to use surge protection devices and grounding systems. Surge protection devices can help to divert the electrical current away from the device, while grounding systems can help to dissipate the electrical charge and reduce the risk of damage. In addition to physical protection measures, it is also important to ensure that IoT devices are designed with robust electronic components that can withstand the high voltages and electrical currents associated with lightning strikes. This can include the use of high-quality circuit boards, protective coatings, and other materials that can help to reduce the risk of damage. Regular testing and maintenance of IoT devices can also help to identify and address any potential vulnerabilities before they can be exploited by lightning strikes or other threats.;Mialdea-Flor, I., Segura-Garcia, J., Felici-Castell, S., Garcia-Pineda, M., Alcaraz-Calero, J.M. and Navarro-Camba, E., 2019. Development of a low-cost IoT system for lightning strike detection and location. Electronics, 8(12), p.1512.
HTT;Natural Wear;IoT sensors can degrade over time due to aging and wear and tear, which can lead to data loss or device failure.;
HTT;Design Flaws;Design flaws refer to weaknesses or vulnerabilities in the design of a system or device that can be exploited by attackers to compromise the security or functionality of the system. In the context of IoT applications, design flaws can pose a significant threat to the security and privacy of devices, as well as the data they collect and transmit. Design flaws can occur at various stages of the development process, from the initial design phase to the implementation and deployment of the system. For example, a design flaw in the hardware or software of a device could allow an attacker to gain unauthorized access to the device or its data, or to manipulate the device in unintended ways. To mitigate the threat of design flaws in IoT applications, it is important to conduct thorough security assessments and testing throughout the development process. This includes identifying potential vulnerabilities and implementing appropriate security measures to address them. Additionally, ongoing monitoring and updates to the system can help to detect and address any new vulnerabilities that may arise over time.;Janes, B., Crawford, H. and OConnor, T.J., 2020, May. Never ending story: authentication and access control design flaws in shared IoT devices. In 2020 IEEE Security and Privacy Workshops (SPW) (pp. 104-109). IEEE.
NLTT;DoS/DDoS in Network Layer;DoS attacks can overload IoT sensors and cause data loss or device failure.;
NLTT;Routing Information Attacks;Routing attacks can disrupt the communication between IoT sensors and cause data loss or device failure.;
