id;IoT_threat_name;description;reference
PLTT;Malicious Node Injection;;
PLTT;Sabotage of Readers;;
PLTT;Attacks On Data Integrity;;
PLTT;Signal Interference;;
PLTT;Abuse of Tags;;
PLTT;Tag Killing;;
HTT;Multiplicity of Devices;;
NLTT;RFID Spoofing;;
NLTT;RFID Cloning;;
NLTT;RFID Unauthorized Access;;
PLTT;Tag Removal or Replacement;Tag removal is a type of physical attack that can be used to compromise the security of IoT tags. This involves physically removing the tag from the object it is attached to, which can allow an attacker to gain unauthorized access to the object or to the data stored on the tag. This type of attack is particularly concerning in situations where the tag is being used to secure valuable or sensitive items, such as in supply chain management or asset tracking. To mitigate this risk, IoT tags can be designed with tamper-evident features that make it difficult or impossible to remove the tag without damaging it or triggering an alarm. Additionally, tags can be paired with sensors that can detect when they have been removed from an object and alert security personnel to the potential threat.;AL MOGBIL, R., AL ASQAH, M. and EL KHEDIRI, S., 2020, September. Iot: Security challenges and issues of smart homes/cities. In 2020 International Conference on Computing and Information Technology (ICCIT-1441) (pp. 1-6). IEEE.
PLTT;Tempering;Attackers modify the IoT tag to change its behavior or steal data.;
PLTT;Jamming;Attackers use radio frequency interference to disrupt communication between the tag and reader.;
PLTT;Signal Blocking;Signal blocking is a type of threat to IoT tags that occurs when the communication signals between the tag and the network are intentionally blocked or jammed. This can be done by an attacker using a jamming device or by simply physically obstructing the signal with materials such as metal or concrete. When the signal is blocked, the tag is unable to communicate with the network, which can result in a loss of data or even a complete failure of the IoT system. This type of threat can be mitigated by implementing security measures such as using multiple communication channels and ensuring that the tags have backup power sources.;Rusli, M.E., Ali, M., Jamil, N. and Din, M.M., 2016, July. An improved indoor positioning algorithm based on rssi-trilateration technique for internet of things (iot). In 2016 International Conference on Computer and Communication Engineering (ICCCE) (pp. 72-77). IEEE.
PLTT;Power Outages;Power outages can be a threat to IoT tags because they rely on a steady source of power to function properly. If the power goes out, the tags may not be able to communicate with the network or perform their intended functions. This can cause a loss of data or even a complete failure of the IoT system. To mitigate this threat, it is important to ensure that the tags have backup power sources, such as batteries or generators, that can keep them running during power outages. Additionally, implementing power management strategies, such as reducing power consumption during periods of low activity, can help to prolong the life of the backup power sources and ensure that the tags remain operational for as long as possible.;Soltan, S., Mittal, P. and Poor, H.V., 2018. BlackIoT: IoT botnet of high wattage devices can disrupt the power grid. In 27th {USENIX} Security Symposium ({USENIX} Security 18) (pp. 15-32).
NTT;Lightning Strikes;Lightning strikes can be a threat to IoT tags, especially those that are deployed in outdoor environments. A lightning strike can generate a high voltage surge that can damage or destroy electronic devices, including IoT tags. To mitigate this risk, it is important to use surge protectors and grounding systems to divert the electrical energy away from the IoT tags. Additionally, it may be necessary to use ruggedized tags that are designed to withstand harsh environmental conditions.;Mialdea-Flor, I., Segura-Garcia, J., Felici-Castell, S., Garcia-Pineda, M., Alcaraz-Calero, J.M. and Navarro-Camba, E., 2019. Development of a low-cost IoT system for lightning strike detection and location. Electronics, 8(12), p.1512.
NTT;Landslides;landslides can be a threat to IoT tags, particularly those that are deployed in areas where landslides are likely to occur. Landslides can cause physical damage to IoT tags, as well as disrupt communication channels and power sources. To mitigate this risk, it is important to use ruggedized tags that are designed to withstand physical damage and to deploy them in areas that are less likely to be affected by landslides. It may also be necessary to use backup power sources, such as batteries or solar panels, to ensure that the tags continue to operate even in the event of a power outage caused by a landslide.;Oguz, E.A., Robinson, K., Depina, I. and Thakur, V., 2019, December. IoT-based strategies for risk management of rainfall-induced landslides: a review. In Proceedings of the 7th International Symposium on Geotechnical Safety and Risk (ISGSR 2019), Taipei, Taiwan (pp. 11-13).
NTT;Tornadoes;Tornadoes can be a threat to IoT tags in several ways. First, tornadoes can physically damage the IoT tags and the infrastructure they are attached to, such as buildings and power lines. This can result in the loss of data and communication capabilities. Second, tornadoes can cause power outages, which can affect the operation of IoT tags that rely on electricity. Third, tornadoes can disrupt communication networks, which can prevent IoT tags from transmitting data to their intended destinations. To mitigate these risks, it is important to use durable IoT tags and backup power sources that can withstand tornadoes and other natural disasters. Additionally, it is important to have contingency plans in place to ensure that communication and data transfer can continue in the event of a tornado or other disaster.;Liu, Y., Wang, K., Qian, K., Du, M. and Guo, S., 2019. Tornado: Enabling blockchain in heterogeneous Internet of Things through a space-structured approach. IEEE Internet of Things Journal, 7(2), pp.1273-1286.
