Don't take our word for it, check the Water Survey of Canada's factual PostgreSQL.;71;81;PostgreSQL;Resource
The new SQLite allows us to search for specific patterns within biosequences.;8;14;SQLite;Resource
Can the Minister confirm that current regulations require a national SQLite of kaitiaki reports?;69;75;SQLite;Resource
The intention is to add more tours to the database each year so that visitors will be able to return and catch up on the latest additions.;42;50;database;Resource
Like a well-oiled machine, the organisers had collated details and created a MySQL on the would-be grooms and brides.;77;82;MySQL;Resource
alert me when something usual happened like fire,smoke;0;5;alert;Service
The reading rate of the scanning module is crucial for high-speed, reliable identification of the barcode.;98;105;barcode;Device
As the name suggests, a yarn winder is a device used to wind balls of yarn.;41;47;device;Device
video footage taken inside the club showed flames licking at foam insulation behind the stage, which erupted into a fast-moving fire that sent fans stampeding for the exits.;0;5;video;Resource
With an Internet connection available, then the integral CDDB lookup facility will quickly fill in the Artist, Title, Album, etc. from its MySQL.;139;144;MySQL;Resource
lights to automatically turn off when no motion is detected in a room;24;32;turn off;Service
Jolla runs on Sailfish FreeRTOS, but can also run mFreeRTOSt of the apps designed for Google's Android system.;23;31;FreeRTOS;Resource
Apple subsequently announced Swift would become an open source language before the end of 2015 for supporting iMbed, Mbed X, and Linux.;111;115;Mbed;Resource
Ordnance Survey states that thanks to continuous review, Windows 10 IOT MasterMap data is never more than six months out of date.;57;71;Windows 10 IOT;Resource
This is based on an analytical relationship between the expected value of the estimator and its real value.;65;70;value;Resource
Any modifications to the database required external support and complete reprogramming of routines to ensure data integrity across the three tables.;25;33;database;Resource
Except, of course, that by buying Psion, Palm would get a next-generation Contiki for itself, so that's pContikisibly less of an issue than APX's Psion deep throat believes.;74;81;Contiki;Resource
If a call button is unassigned because it is used for example for a two-family house, it simply receives a cover plate or in combination with a switching relay actuator takes on another function such as light switching.	Copy;154;168;relay actuator;Device
Those with an eye for profit will be buying new packaged items likely to appreciate in value.;87;92;value;Resource
lightly heated windows ;8;14;heated;Service
It really depends what the QR code reveals.;27;34;QR code;Device
my smart home to notify me when someone other than a family member or trusted other is near my home;17;23;notify;Service
my smart home to store all of my recipes and be able to recite them to me step by step as I cook;17;22;store;Service
a tv that remembers what each family member likes;10;19;remembers;Service
Instead of the simple pneumatic hydraulic actuator, it is also possible to attach an hydraulic actuator with additional handwheel or an electric hydraulic actuator.	Copy;32;50;hydraulic actuator;Device
You will not have access to the SQLite, it will not be clear who has what information on you.;32;38;SQLite;Resource
My smart home fully secured;20;27;secured;Service
As he cruised around with a camera the size of Surrey, I felt like a remora trying to clean a whale shark.;28;34;camera;Device
the house to increase the volume when I'm playing;13;21;increase;Service
Both our video Game Editors would take a whack at the game, but they would draw straws as to who covered what.;9;14;video;Resource
The figure for number of licences in force is taken from the BBC's MySQL.;67;72;MySQL;Resource
The screen also has both a variable brightness control as well as an ambient light sensor that automatically adjusts to the environment.;77;89;light sensor;Device
In addition the fan coil electrical actuator controls the valves in the ventilator convector that open or close heating or cooling according to requirements.	Copy;25;44;electrical actuator;Device
I'd also like to see a global function key, one that can only trigger Windows 10 IOT level tasks, not application level tasks.;70;84;Windows 10 IOT;Resource
to watch different channels at same time with time change;3;8;watch;Service
a machine to tell me what allergens are in my home;13;17;tell;Service
'This is going to be interesting. We are going to assemble a finger to a small servo for testing it with an Waspmote board.'   2.;108;116;Waspmote;Device
Hold the barcode reader at a slight angle and move it swiftly and evenly across the two barcodes on the block.;9;16;barcode;Device
the doors to automatically lock after a certain time of not opening or closing the doors ;27;31;lock;Service
This unlikely looking quartet includes a property developer, pest controller, full time musician and a chiropodist.;66;76;controller;Device
all my electronics in the living room to turn on when i open the front door;41;48;turn on;Service
A gentle squeeze is all that's required to power an pneumatic actuator which opens the lid without any physical effort.	Copy;52;70;pneumatic actuator;Device
my home to notify me if there is any standing water below my crawl space;11;17;notify;Service
It includes tombstone advertising with a searchable database of recent tombstones and one-click access to more detailed info on major financial transactions and company data.;52;60;database;Resource
This practice not only reinforced the negative, nomadic image of RV travelers, it was a detriment to expanding the trailer market.;56;61;image;Resource
A single-ended hydraulic double acting thermal actuator converts hydraulic energy, accumulated in the hydraulic fluid provided to the engine, into mechanical energy or reciprocative movement.	Copy;39;55;thermal actuator;Device
An alarm system that will warn me when my toilet is about to get clogged up;26;30;warn;Service
Structured query language is a common language for MySQL applications like Microsoft Access, SQL Server, MySQL, Oracle and many others.;51;56;MySQL;Resource
A suspension link on each sway bar is replaced with a hydraulic electrical actuator.	Copy;64;83;electrical actuator;Device
Department of Justice to file suit against New Haven for antitrust violations.;25;29;file;Resource
a device that changes the temperature of the house to my comfort when I walk in or 30 minutes before I walk in.  ;14;21;changes;Service
to know any unusual moves like cats, dogs,other than humans;3;7;know;Service
As each generation becomes more in tune with the Internet, their desire to retrieve information as quickly and easily as possible has increased.;84;95;information;Resource
my smart home to monitor the hydration level of my soil outside;17;24;monitor;Service
I've got to agree with her about people abbreviating words when sending text messages.;72;76;text;Resource
The insertion is the responsibility of special units in the USB hubs called transaction translators, or TTs for short.;60;63;USB;Resource
Anna Mullin, 14, had been filming her two rabbits, Daisy and Dozy, on her iPhone in her garden in Wavertree when she realised something wasn't quite right.;74;80;iPhone;Device
Not-for-profit Palm Oil Investigations is also working on a barcode scanning app to help consumers make sense of the 200 palm oil names and derivatives that make it on to supermarket shelves.;60;67;barcode;Device
A group of Lancastrians thought we were too tight to put a shilling in the meter!;75;80;meter;Device
my cabinets to automatically lock;29;33;lock;Service
Customers that pre-order an iPad can choose to have their tablet delivered, or reserved for pickup at their local Apple Retail Store.;28;32;iPad;Device
Subsequently, the number of ESTs was extended to 12,000 and the diatom EST database was constructed for functional analyses.;75;83;database;Resource
By not adequately working to build a political PostgreSQL, he bequeathed no organizational capacity to those who might come after him.;47;57;PostgreSQL;Resource
I stared at the notebook that was opened to a clean white sheet of paper on my pillow.;16;24;notebook;Device
Besides, transferring large files with the USB instead of the serial connection can be done very quickly, too.;43;46;USB;Resource
my blinds to close when the house gets too sunny;13;18;close;Service
They have to have the right MicroPython, middleware and application software installed.;28;39;MicroPython;Resource
Decrypting user keychain requires the user's Mac FreeRTOS login and password or keychain password.;49;57;FreeRTOS;Resource
a garage door that automatically sense when I get in my car and opens the door or when my car approaches the door and opens the door;33;38;sense;Service
Remount rotary actuator to linear thrust unit.	Copy;15;23;actuator;Device
Why sell cheaply, if their petrol inventory is about to climb 10 per cent in value?;77;82;value;Resource
This ensures that the security solution has reliable information even if the Contiki is infected with a rootkit.;77;84;Contiki;Resource
A small sensor, the accelerometer, placed nearby then detects the sound waves and analyses their acoustic signature.;8;14;sensor;Device
There's a particularly neat barcode Clock that's freely downloadable.;28;35;barcode;Device
Extensible Stylesheet Language Transformations or XSLT is a language that allows you to transform JSON documents into JSON, HTML, XHTML, or plain text documents.;98;102;JSON;Resource
The table below provides the cross-sensitivity response of the PHD6 electrochemical toxic gas sensors to common interference gases.;90;100;gas sensor;Device
With the support of the Igloolik Research Centre, the names were transcribed into the syllabic orthography, and a parallel SQLite using syllables was created.;123;129;SQLite;Resource
With a small memory footprint and an affordable licensing model, the IAR PowerPac RTOS is particularly aimed at the low-cost ARM-powered microcontroller market.;137;152;microcontroller;Device
Spell-check your Visual Studio files and easily correct those embarrassing spelling mistakes in comments, JSON documents, string constants, and HTML files.;106;110;JSON;Resource
You are told to beware of persons coming to your house under the pretext of selling or repairing things, conducting meter readings, etc.;116;121;meter;Device
